#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos08_101214_000_png_filaments,17877,2.210994,112.167274,0.767479,0.181650,33.306217,0.600676
Pos08_101214_001_png_filaments,16925,1.764593,97.501585,0.792942,0.326003,34.471576,0.780231
Pos08_101214_002_png_filaments,17102,1.791555,98.756021,0.796476,0.364406,29.072665,0.724024
Pos08_101214_003_png_filaments,16815,1.768878,97.302150,0.745298,0.351412,32.797533,1.198904
Pos08_101214_004_png_filaments,17271,1.846084,100.741760,0.737561,0.343487,36.670937,0.784650
Pos08_101214_005_png_filaments,17164,1.913109,102.236076,0.750052,0.351047,27.619031,0.833950
Pos08_101214_006_png_filaments,16960,1.813134,98.935678,0.771515,0.447366,29.100731,0.775475
Pos08_101214_007_png_filaments,16896,1.937460,102.078290,0.771102,0.683748,27.815498,0.982931
Pos08_101214_008_png_filaments,17594,1.966344,104.939044,0.765374,0.783026,27.436839,1.069258
Pos08_101214_009_png_filaments,17817,1.963340,105.521294,0.779995,0.548919,30.778153,0.917629
Pos08_101214_010_png_filaments,18392,2.009367,108.459893,0.802347,0.445228,27.085720,0.905354
Pos08_101214_011_png_filaments,17561,1.671502,96.661412,0.762017,0.535755,26.637363,1.026255
Pos08_101214_012_png_filaments,16552,1.906762,100.230188,0.775545,0.573713,31.314009,1.000000
Pos08_101214_013_png_filaments,17295,2.059758,106.486228,0.777950,0.606282,23.465719,0.958252
Pos08_101214_014_png_filaments,17715,1.790453,100.479416,0.738599,0.326037,27.530718,0.765741
Pos08_101214_015_png_filaments,18049,1.661308,97.695984,0.700332,0.128168,24.391260,0.481503
Pos08_101214_016_png_filaments,16056,2.202907,106.106459,0.769709,0.166684,16.805476,0.439448
Pos08_101214_017_png_filaments,17728,2.529471,119.473005,0.821533,0.578711,17.565536,0.887932
Pos08_101214_018_png_filaments,18262,2.449165,119.318629,0.820833,0.743199,21.722170,0.932140
Pos08_101214_019_png_filaments,19561,1.839342,107.016768,0.770878,0.472937,19.057478,0.764078
Pos08_101214_020_png_filaments,19810,1.468163,96.217582,0.601359,0.425719,27.912652,0.768371
Pos08_101214_021_png_filaments,18409,1.544917,95.146482,0.620207,0.566374,28.900477,0.924524
Pos08_101214_022_png_filaments,19315,1.711636,102.583644,0.787468,0.363781,40.360512,1.054514
Pos08_101214_023_png_filaments,17311,1.835668,100.573418,0.837499,0.167648,16.882728,0.375733
Pos08_101214_024_png_filaments,18598,2.446701,120.350704,0.797403,0.000000,0.000000,0.000000
Pos08_101214_025_png_filaments,17289,2.162460,109.089774,0.779215,0.331813,17.455233,1.090583
Pos08_101214_026_png_filaments,18844,2.092850,112.041951,0.851394,0.144628,31.975920,0.596622
Pos08_101214_027_png_filaments,19424,1.583963,98.961647,0.811406,0.000000,0.000000,0.000000
Pos08_101214_028_png_filaments,18892,1.454695,93.529799,0.765597,0.525014,27.338669,0.931698
Pos08_101214_029_png_filaments,18822,1.866812,105.756785,0.831594,0.190060,22.087555,0.451549
Pos08_101214_030_png_filaments,18625,2.337250,117.713368,0.837600,0.496686,27.262531,0.964048
Pos08_101214_031_png_filaments,19411,2.084940,113.499983,0.841176,0.112212,19.488108,0.326729
Pos08_101214_032_png_filaments,19209,1.713227,102.349304,0.830535,0.503135,32.220873,1.012490
Pos08_101214_033_png_filaments,19481,1.663311,101.558766,0.794361,0.192313,30.245713,0.675572
Pos08_101214_034_png_filaments,19567,1.638388,101.017255,0.774350,0.178190,30.143231,0.772350
Pos08_101214_035_png_filaments,18555,2.110504,111.647404,0.851154,0.152656,18.469285,0.564651
Pos08_101214_036_png_filaments,19557,1.827555,106.662414,0.806854,0.269298,26.426016,0.840383
Pos08_101214_037_png_filaments,20288,1.683083,104.255133,0.813812,0.158046,26.936056,0.606875
Pos08_101214_038_png_filaments,20467,1.615232,102.581634,0.801327,0.252441,10.812537,0.641867
Pos08_101214_039_png_filaments,20346,1.776885,107.273943,0.818393,0.164724,36.410306,0.790701
Pos08_101214_040_png_filaments,20755,1.880598,111.463946,0.794907,0.207557,9.416091,0.436140
Pos08_101214_041_png_filaments,20374,2.119293,117.235385,0.880793,0.000000,0.000000,0.000000
Pos08_101214_042_png_filaments,19863,2.037499,113.500085,0.855942,0.272663,0.327977,0.875793
Pos08_101214_043_png_filaments,19754,2.009720,112.413990,0.834043,0.000000,0.000000,0.000000
Pos08_101214_044_png_filaments,20221,1.653533,103.165101,0.838064,0.000000,0.000000,0.000000
Pos08_101214_045_png_filaments,20110,1.492925,97.757501,0.858389,0.238232,10.900571,0.536993
Pos08_101214_046_png_filaments,19095,1.832169,105.527988,0.807211,0.308383,16.265625,0.478327
Pos08_101214_047_png_filaments,19792,2.022822,112.888249,0.831932,0.176171,12.461676,0.413219
Pos08_101214_048_png_filaments,21123,1.826635,110.822706,0.767738,0.163903,22.301202,0.614858
Pos08_101214_049_png_filaments,21889,1.767540,110.974360,0.814296,0.155986,21.425463,0.414329
Pos08_101214_050_png_filaments,21546,1.783917,110.610336,0.826917,0.000000,0.000000,0.000000
Pos08_101214_051_png_filaments,21993,1.841197,113.531775,0.818484,0.112379,32.143349,0.518382
Pos08_101214_052_png_filaments,20737,1.761126,107.818489,0.811200,0.225373,26.058188,0.936375
Pos08_101214_053_png_filaments,21382,1.995316,116.534648,0.817108,0.206022,20.483623,0.674067
Pos08_101214_054_png_filaments,20146,1.991181,112.999064,0.863979,0.183257,23.804115,0.655174
Pos08_101214_055_png_filaments,21492,2.023815,117.665429,0.859633,0.276158,21.469835,0.735071
Pos08_101214_056_png_filaments,22432,1.866995,115.459757,0.842534,0.153325,19.637958,0.414254
Pos08_101214_057_png_filaments,21160,1.790840,109.827548,0.787266,0.269926,19.090075,0.675719
Pos08_101214_058_png_filaments,21469,2.014971,117.345211,0.800479,0.206734,25.699186,0.675601
Pos08_101214_059_png_filaments,21023,1.784976,109.292056,0.766106,0.286227,24.500946,0.696956
Pos08_101214_060_png_filaments,21475,1.577409,103.839791,0.736945,0.569633,28.623447,0.925838
Pos08_101214_061_png_filaments,22046,1.678911,108.543495,0.758917,0.407072,23.708800,0.839564
Pos08_101214_062_png_filaments,20571,1.566351,101.273847,0.829388,0.197893,26.983148,0.929470
Pos08_101214_063_png_filaments,20620,1.705795,105.811485,0.820064,0.444901,24.308929,1.001302
Pos08_101214_064_png_filaments,20419,2.221621,120.164804,0.792344,0.225508,18.977465,0.620375
Pos08_101214_065_png_filaments,20862,2.002928,115.328250,0.824896,0.154743,21.735790,0.464729
Pos08_101214_066_png_filaments,21407,2.069889,118.761724,0.823539,0.113850,17.083445,0.335465
Pos08_101214_067_png_filaments,21634,2.138804,121.360950,0.830386,0.000000,0.000000,0.000000
Pos08_101214_068_png_filaments,21636,2.151590,121.728790,0.858716,0.080388,10.082086,0.451724
Pos08_101214_069_png_filaments,22335,1.747871,111.473780,0.779719,0.201893,25.731772,0.508668
Pos08_101214_070_png_filaments,20674,1.738307,106.954868,0.823493,0.214805,26.880938,0.623521
Pos08_101214_071_png_filaments,21133,1.646270,105.234022,0.800140,0.529731,21.720014,0.683379
Pos08_101214_072_png_filaments,20857,1.874554,111.557805,0.829656,0.535204,22.878362,0.919526
Pos08_101214_073_png_filaments,20149,2.024890,113.960023,0.854178,0.349716,20.044653,0.714415
Pos08_101214_074_png_filaments,20448,1.982472,113.593639,0.834238,0.263761,18.122088,0.688221
Pos08_101214_075_png_filaments,20707,1.759712,107.697210,0.875532,0.146284,24.930048,0.809316
Pos08_101214_076_png_filaments,21196,1.804402,110.336364,0.801188,0.278846,25.244025,0.697552
Pos08_101214_077_png_filaments,20395,1.900877,111.087175,0.837133,0.394067,21.832556,0.801102
