#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos57_1_221014_000_png_filaments,22829,1.863154,116.357098,0.371339,0.212327,39.106160,0.694428
Pos57_1_221014_001_png_filaments,23071,1.711966,112.125873,0.399042,0.303032,22.087621,0.542180
Pos57_1_221014_002_png_filaments,22621,1.787148,113.438695,0.425609,0.195410,41.711916,0.686788
Pos57_1_221014_003_png_filaments,22249,1.903978,116.121135,0.449519,0.360510,24.414704,0.990607
Pos57_1_221014_004_png_filaments,22126,1.855296,114.309709,0.465468,0.352091,44.879736,0.649128
Pos57_1_221014_005_png_filaments,22857,1.974308,119.851129,0.580577,0.231702,32.752928,0.685001
Pos57_1_221014_006_png_filaments,22833,2.000848,120.590640,0.609974,0.254730,40.658082,0.697781
Pos57_1_221014_007_png_filaments,23023,1.933612,119.039388,0.589610,0.141659,17.020757,0.472413
Pos57_1_221014_008_png_filaments,24330,1.863375,120.128554,0.554756,0.184107,35.509428,0.478816
Pos57_1_221014_009_png_filaments,23740,1.816430,117.158756,0.589946,0.192913,19.099084,0.438638
Pos57_1_221014_010_png_filaments,23531,1.892051,119.045141,0.582118,0.190605,18.828362,0.438277
Pos57_1_221014_011_png_filaments,23158,1.938692,119.544609,0.653321,0.375208,16.662038,0.657305
Pos57_1_221014_012_png_filaments,23037,2.062177,122.970515,0.649405,0.155063,16.309392,0.368500
Pos57_1_221014_013_png_filaments,22983,2.028859,121.830031,0.666379,0.324126,14.189372,0.652253
Pos57_1_221014_014_png_filaments,23363,2.087925,124.608255,0.600999,0.182234,35.545238,0.545261
Pos57_1_221014_015_png_filaments,23170,2.135054,125.485201,0.660635,0.150651,38.344152,0.538237
Pos57_1_221014_016_png_filaments,22501,2.180659,124.974052,0.624671,0.190717,37.633920,0.500786
Pos57_1_221014_017_png_filaments,22565,2.210268,125.998449,0.659761,0.169962,40.013643,0.473810
Pos57_1_221014_018_png_filaments,21910,2.149930,122.449893,0.710465,0.112948,18.794454,0.404729
Pos57_1_221014_019_png_filaments,21620,2.281423,125.301369,0.687609,0.167660,30.944391,0.460326
Pos57_1_221014_020_png_filaments,20816,2.525096,129.348873,0.750243,0.138862,32.905537,0.432195
Pos57_1_221014_021_png_filaments,20133,2.685837,131.195559,0.724054,0.000000,0.000000,0.000000
Pos57_1_221014_022_png_filaments,20637,2.747952,134.354716,0.685068,0.000000,0.000000,0.000000
Pos57_1_221014_023_png_filaments,21197,2.767850,136.657521,0.699071,0.136238,18.060897,0.295895
Pos57_1_221014_024_png_filaments,20129,3.095562,140.833481,0.658718,0.147872,19.262626,0.300113
Pos57_1_221014_025_png_filaments,20115,3.320139,145.801910,0.676932,0.000000,0.000000,0.000000
Pos57_1_221014_026_png_filaments,20649,3.242865,145.995345,0.674471,0.125640,20.994339,0.278350
Pos57_1_221014_027_png_filaments,20033,3.578424,151.058079,0.669167,0.000000,0.000000,0.000000
Pos57_1_221014_028_png_filaments,20380,3.696690,154.858008,0.705473,0.173456,18.280004,0.317233
Pos57_1_221014_029_png_filaments,20378,4.677595,174.187566,0.822231,0.000000,0.000000,0.000000
Pos57_1_221014_030_png_filaments,21364,5.328754,190.361528,0.819744,0.000000,0.000000,0.000000
Pos57_1_221014_031_png_filaments,21777,5.444190,194.263283,0.797714,0.171262,18.862787,0.320450
Pos57_1_221014_032_png_filaments,21634,5.629969,196.900345,0.808387,0.152820,18.142288,0.321882
Pos57_1_221014_033_png_filaments,22377,5.756702,202.494330,0.789776,0.170388,17.891574,0.295651
Pos57_1_221014_034_png_filaments,22600,5.903921,206.086503,0.830944,0.146034,19.202353,0.267465
Pos57_1_221014_035_png_filaments,22560,6.092931,209.174019,0.847241,0.136435,18.250442,0.285287
Pos57_1_221014_036_png_filaments,22490,6.178666,210.313500,0.861709,0.000000,0.000000,0.000000
Pos57_1_221014_037_png_filaments,23143,6.280361,215.093454,0.862116,0.000000,0.000000,0.000000
Pos57_1_221014_038_png_filaments,22466,6.525841,216.026079,0.905215,0.000000,0.000000,0.000000
Pos57_1_221014_039_png_filaments,21756,6.832398,217.520987,0.899583,0.000000,0.000000,0.000000
Pos57_1_221014_040_png_filaments,21576,7.196252,222.312412,0.904220,0.149975,14.499013,0.276250
Pos57_1_221014_041_png_filaments,21934,7.244295,224.896163,0.900425,0.000000,0.000000,0.000000
Pos57_1_221014_042_png_filaments,22279,6.899424,221.197048,0.857750,0.000000,0.000000,0.000000
Pos57_1_221014_043_png_filaments,22037,6.831250,218.902836,0.880210,0.000000,0.000000,0.000000
Pos57_1_221014_044_png_filaments,21436,6.913683,217.195923,0.856829,0.000000,0.000000,0.000000
Pos57_1_221014_045_png_filaments,22364,6.601881,216.787207,0.832875,0.089711,35.912713,0.141232
Pos57_1_221014_046_png_filaments,23760,6.296039,218.213686,0.808241,0.000000,0.000000,0.000000
Pos57_1_221014_047_png_filaments,23066,6.608882,220.280070,0.790807,0.000000,0.000000,0.000000
Pos57_1_221014_048_png_filaments,22899,6.834859,223.202010,0.803880,0.000000,0.000000,0.000000
Pos57_1_221014_049_png_filaments,22158,6.721588,217.734018,0.806216,0.096713,30.200654,0.158950
Pos57_1_221014_050_png_filaments,22228,6.773746,218.922153,0.849670,0.089640,26.734433,0.156690
Pos57_1_221014_051_png_filaments,21994,6.894039,219.691898,0.841180,0.000000,0.000000,0.000000
Pos57_1_221014_052_png_filaments,22128,6.879082,220.120954,0.866767,0.000000,0.000000,0.000000
Pos57_1_221014_053_png_filaments,21228,7.262106,221.518955,0.850098,0.079864,35.816365,0.179369
Pos57_1_221014_054_png_filaments,21427,7.341117,223.762250,0.846745,0.076848,24.467270,0.205093
Pos57_1_221014_055_png_filaments,22337,7.452103,230.184942,0.863092,0.094832,18.450680,0.221154
Pos57_1_221014_056_png_filaments,21706,7.418645,226.400435,0.868886,0.124003,24.215124,0.252939
Pos57_1_221014_057_png_filaments,20864,7.778919,227.291646,0.860269,0.067400,33.071916,0.163602
Pos57_1_221014_058_png_filaments,21923,7.465078,228.240247,0.824905,0.000000,0.000000,0.000000
Pos57_1_221014_059_png_filaments,21415,7.613594,227.813239,0.875848,0.073772,29.344202,0.164985
Pos57_1_221014_060_png_filaments,21695,8.009515,235.184123,0.865888,0.000000,0.000000,0.000000
Pos57_1_221014_061_png_filaments,22334,8.274610,242.539281,0.878471,0.098769,17.575199,0.147657
Pos57_1_221014_062_png_filaments,22267,8.466193,244.962722,0.860239,0.000000,0.000000,0.000000
Pos57_1_221014_063_png_filaments,22515,8.413522,245.555664,0.839944,0.000000,0.000000,0.000000
Pos57_1_221014_064_png_filaments,22362,8.381922,244.259910,0.860805,0.000000,0.000000,0.000000
Pos57_1_221014_065_png_filaments,22750,9.168632,257.672478,0.825295,0.000000,0.000000,0.000000
Pos57_1_221014_066_png_filaments,24005,8.969717,261.797376,0.821817,0.000000,0.000000,0.000000
Pos57_1_221014_067_png_filaments,22940,10.702899,279.558359,0.874083,0.106099,15.944157,0.151160
Pos57_1_221014_068_png_filaments,23759,9.205826,263.858156,0.813587,0.115903,22.393651,0.149284
Pos57_1_221014_069_png_filaments,24289,8.562886,257.300104,0.768452,0.000000,0.000000,0.000000
Pos57_1_221014_070_png_filaments,26478,7.453108,250.631907,0.719089,0.000000,0.000000,0.000000
Pos57_1_221014_071_png_filaments,27514,7.077770,248.971796,0.715083,0.000000,0.000000,0.000000
Pos57_1_221014_072_png_filaments,26945,7.527600,254.092838,0.710772,0.064749,68.128425,0.112528
Pos57_1_221014_073_png_filaments,26635,8.579234,269.696723,0.743222,0.000000,0.000000,0.000000
Pos57_1_221014_074_png_filaments,25616,9.178305,273.565901,0.786737,0.000000,0.000000,0.000000
Pos57_1_221014_075_png_filaments,26243,9.476500,281.355744,0.818992,0.000000,0.000000,0.000000
Pos57_1_221014_076_png_filaments,26918,9.857912,290.628985,0.809759,0.075985,29.374962,0.131464
Pos57_1_221014_077_png_filaments,27349,9.052558,280.725230,0.837068,0.000000,0.000000,0.000000
