#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos01_051114_000_png_filaments,38556,1.598032,140.043767,0.616885,0.167673,28.716463,0.596401
Pos01_051114_001_png_filaments,37920,1.708558,143.606497,0.680982,0.322448,18.953274,0.740211
Pos01_051114_002_png_filaments,38445,1.817901,149.152353,0.689859,0.353042,25.139231,0.810950
Pos01_051114_003_png_filaments,38080,1.780366,146.902159,0.688068,0.265596,28.244464,0.813734
Pos01_051114_004_png_filaments,39007,2.017238,158.261365,0.728920,0.085284,30.787991,0.475216
Pos01_051114_005_png_filaments,39577,2.116952,163.305948,0.732647,0.178892,25.139029,0.703519
Pos01_051114_006_png_filaments,40391,2.135900,165.713474,0.729219,0.110301,28.289468,0.567526
Pos01_051114_007_png_filaments,40591,2.208733,168.931854,0.733841,0.090484,14.405685,0.455506
Pos01_051114_008_png_filaments,40743,2.198519,168.856070,0.743359,0.207437,18.856811,0.534012
Pos01_051114_009_png_filaments,41083,2.196701,169.489037,0.735620,0.202838,15.938626,0.534424
Pos01_051114_010_png_filaments,40394,2.239412,169.687751,0.765858,0.119622,17.807881,0.241505
Pos01_051114_011_png_filaments,40624,2.306488,172.699867,0.785232,0.058677,20.708187,0.204938
Pos01_051114_012_png_filaments,41587,2.348699,176.326481,0.716877,0.245632,19.326227,0.586869
Pos01_051114_013_png_filaments,44092,2.343916,181.374398,0.756615,0.244116,22.950923,0.571068
Pos01_051114_014_png_filaments,43508,2.422807,183.176195,0.766698,0.121920,18.941425,0.298291
Pos01_051114_015_png_filaments,42182,2.484759,182.654671,0.753694,0.046586,75.104658,0.349840
Pos01_051114_016_png_filaments,42397,2.450555,181.854835,0.770204,0.062951,70.504959,0.336645
Pos01_051114_017_png_filaments,41837,2.420314,179.531718,0.803620,0.000000,0.000000,0.000000
Pos01_051114_018_png_filaments,41041,2.514761,181.251825,0.790200,0.077309,24.485154,0.533606
Pos01_051114_019_png_filaments,41829,2.561448,184.674348,0.795395,0.000000,0.000000,0.000000
Pos01_051114_020_png_filaments,43064,2.543227,186.713108,0.800932,0.084746,20.133531,0.411085
Pos01_051114_021_png_filaments,41826,2.689394,189.223663,0.808813,0.075535,10.977969,0.167277
Pos01_051114_022_png_filaments,42998,2.779766,195.053303,0.787929,0.131505,47.983391,0.468376
Pos01_051114_023_png_filaments,42353,2.756910,192.787311,0.804606,0.137252,31.927590,0.744264
Pos01_051114_024_png_filaments,42462,2.701581,191.088382,0.770979,0.159931,38.927786,0.654880
