#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos50_101214_000_png_filaments,44047,2.363680,182.044503,0.706510,0.139694,23.864557,0.409982
Pos50_101214_001_png_filaments,45083,2.421766,186.422168,0.770159,0.100048,24.298962,0.302760
Pos50_101214_002_png_filaments,47690,2.739878,203.940902,0.795101,0.163144,34.185097,0.421641
Pos50_101214_003_png_filaments,48780,2.761686,207.077594,0.828133,0.000000,0.000000,0.000000
Pos50_101214_004_png_filaments,51373,2.801945,214.053498,0.823427,0.000000,0.000000,0.000000
Pos50_101214_005_png_filaments,53617,2.638259,212.194944,0.845807,0.000000,0.000000,0.000000
Pos50_101214_006_png_filaments,52635,2.531780,205.956432,0.751919,0.000000,0.000000,0.000000
Pos50_101214_007_png_filaments,52116,2.704112,211.798528,0.801963,0.000000,0.000000,0.000000
Pos50_101214_008_png_filaments,52163,2.839238,217.123706,0.890655,0.000000,0.000000,0.000000
Pos50_101214_009_png_filaments,52473,3.018972,224.554908,0.858971,0.000000,0.000000,0.000000
Pos50_101214_010_png_filaments,57698,3.392082,249.596570,0.684430,0.000000,0.000000,0.000000
Pos50_101214_011_png_filaments,57088,3.421532,249.349086,0.858578,0.000000,0.000000,0.000000
Pos50_101214_012_png_filaments,56708,3.490261,251.001421,0.821635,0.000000,0.000000,0.000000
Pos50_101214_013_png_filaments,56240,3.685848,256.871800,0.877914,0.000000,0.000000,0.000000
Pos50_101214_014_png_filaments,58181,3.557225,256.667761,0.798670,0.000000,0.000000,0.000000
Pos50_101214_015_png_filaments,58411,3.421835,252.233006,0.761154,0.194393,46.440332,0.319869
Pos50_101214_016_png_filaments,56069,3.900899,263.857122,0.804355,0.000000,0.000000,0.000000
Pos50_101214_017_png_filaments,55293,4.075787,267.834106,0.894735,0.000000,0.000000,0.000000
Pos50_101214_018_png_filaments,53178,4.250434,268.230217,0.951478,0.000000,0.000000,0.000000
Pos50_101214_019_png_filaments,54043,4.481619,277.659319,0.834013,0.000000,0.000000,0.000000
Pos50_101214_020_png_filaments,52921,4.466343,274.293250,0.947308,0.935552,3.723435,1.087906
Pos50_101214_021_png_filaments,53435,4.514593,277.106856,0.930463,0.000000,0.000000,0.000000
Pos50_101214_022_png_filaments,52504,4.493110,274.027901,0.870922,0.000000,0.000000,0.000000
Pos50_101214_023_png_filaments,52521,4.291241,267.844670,0.979546,0.000000,0.000000,0.000000
Pos50_101214_024_png_filaments,51876,4.358809,268.282425,0.939624,0.000000,0.000000,0.000000
Pos50_101214_025_png_filaments,54752,4.330220,274.713522,0.897472,0.000000,0.000000,0.000000
Pos50_101214_026_png_filaments,55033,4.571297,282.980413,0.903056,0.000000,0.000000,0.000000
Pos50_101214_027_png_filaments,54142,4.611736,281.919054,0.884092,0.000000,0.000000,0.000000
Pos50_101214_028_png_filaments,55939,4.506140,283.259675,0.855916,0.110991,30.926511,0.235326
Pos50_101214_029_png_filaments,56227,4.332547,278.464066,0.888925,0.000000,0.000000,0.000000
Pos50_101214_030_png_filaments,57836,4.392451,284.365988,0.870210,0.087486,23.888847,0.240963
Pos50_101214_031_png_filaments,56901,4.325313,279.894125,0.916697,0.064573,17.171568,0.193340
Pos50_101214_032_png_filaments,56584,4.404963,281.671572,0.914732,0.056503,25.017202,0.347976
Pos50_101214_033_png_filaments,58551,4.657118,294.612278,0.911753,0.000000,0.000000,0.000000
Pos50_101214_034_png_filaments,58959,4.555467,292.392730,0.892852,0.000000,0.000000,0.000000
Pos50_101214_035_png_filaments,56005,4.605070,286.521081,0.895041,0.000000,0.000000,0.000000
Pos50_101214_036_png_filaments,55436,5.143808,301.275198,0.926033,0.000000,0.000000,0.000000
Pos50_101214_037_png_filaments,57267,5.476651,315.961970,0.907968,0.000000,0.000000,0.000000
Pos50_101214_038_png_filaments,58595,5.796764,328.812374,0.898371,0.000000,0.000000,0.000000
Pos50_101214_039_png_filaments,59136,5.499431,321.743598,0.896738,0.000000,0.000000,0.000000
Pos50_101214_040_png_filaments,58502,5.273825,313.381444,0.899847,0.036809,12.821659,0.180931
Pos50_101214_041_png_filaments,59227,5.178951,312.468204,0.885030,0.000000,0.000000,0.000000
Pos50_101214_042_png_filaments,59335,5.084412,309.885249,0.895506,0.000000,0.000000,0.000000
Pos50_101214_043_png_filaments,58784,4.920683,303.436153,0.872325,0.000000,0.000000,0.000000
Pos50_101214_044_png_filaments,59032,4.814208,300.767729,0.885669,0.049426,22.820000,0.241851
Pos50_101214_045_png_filaments,58175,4.797621,298.061736,0.851155,0.040256,24.259530,0.189691
Pos50_101214_046_png_filaments,57617,5.294225,311.602965,0.845754,0.000000,0.000000,0.000000
Pos50_101214_047_png_filaments,56110,5.626894,317.014819,0.872557,0.000000,0.000000,0.000000
Pos50_101214_048_png_filaments,56329,5.872678,324.495873,0.904926,0.000000,0.000000,0.000000
Pos50_101214_049_png_filaments,56287,5.999865,327.868620,0.887312,0.035580,32.765152,0.188102
Pos50_101214_050_png_filaments,56907,5.894773,326.769453,0.893947,0.000000,0.000000,0.000000
Pos50_101214_051_png_filaments,57676,6.035582,332.875788,0.893171,0.000000,0.000000,0.000000
Pos50_101214_052_png_filaments,57284,6.281731,338.439776,0.870884,0.000000,0.000000,0.000000
Pos50_101214_053_png_filaments,57806,6.406833,343.346974,0.880368,0.034600,20.215686,0.139674
Pos50_101214_054_png_filaments,58157,6.441518,345.318760,0.886160,0.035327,21.271795,0.144044
Pos50_101214_055_png_filaments,59087,6.156353,340.277153,0.860545,0.079224,16.933012,0.169273
Pos50_101214_056_png_filaments,59487,5.665793,327.541587,0.872553,0.000000,0.000000,0.000000
Pos50_101214_057_png_filaments,60177,5.549422,326.034986,0.823464,0.057269,29.472139,0.165106
Pos50_101214_058_png_filaments,60866,5.299763,320.435533,0.801412,0.038941,26.070182,0.323350
Pos50_101214_059_png_filaments,59829,5.430807,321.597837,0.843050,0.000000,0.000000,0.000000
Pos50_101214_060_png_filaments,59661,5.504570,323.319595,0.875504,0.093290,24.714691,0.262364
Pos50_101214_061_png_filaments,59206,5.652500,326.383510,0.874408,0.116978,23.299703,0.220274
Pos50_101214_062_png_filaments,59709,5.702585,329.215933,0.863842,0.099643,27.385365,0.185602
Pos50_101214_063_png_filaments,61655,5.864416,339.251361,0.826527,0.111399,29.610572,0.185047
Pos50_101214_064_png_filaments,60740,6.018147,341.109530,0.849907,0.107958,29.528192,0.193851
Pos50_101214_065_png_filaments,60108,6.249011,345.777593,0.864965,0.137917,26.304122,0.277211
Pos50_101214_066_png_filaments,61074,6.408547,352.966129,0.855130,0.112095,27.603459,0.240746
Pos50_101214_067_png_filaments,60441,6.517544,354.105661,0.847251,0.113807,27.067799,0.225057
Pos50_101214_068_png_filaments,58402,6.548325,348.902463,0.829750,0.123073,29.329175,0.191255
Pos50_101214_069_png_filaments,56999,6.764179,350.321045,0.858694,0.091996,27.123799,0.230279
Pos50_101214_070_png_filaments,56307,7.184682,358.847589,0.847870,0.099694,27.413572,0.139921
Pos50_101214_071_png_filaments,55290,7.435472,361.745077,0.858867,0.125258,30.272940,0.185165
Pos50_101214_072_png_filaments,53657,7.693553,362.494759,0.845228,0.082756,25.539658,0.161374
Pos50_101214_073_png_filaments,52887,7.710583,360.282475,0.842439,0.086354,29.893559,0.152830
Pos50_101214_074_png_filaments,52466,7.714780,358.943269,0.874901,0.093736,13.602631,0.197442
Pos50_101214_075_png_filaments,53078,7.562123,357.440868,0.850813,0.071636,33.862575,0.140797
Pos50_101214_076_png_filaments,54076,6.830874,342.898417,0.863899,0.068803,33.556277,0.199451
Pos50_101214_077_png_filaments,55068,6.450424,336.255074,0.801105,0.085005,30.298145,0.223183
Pos50_101214_078_png_filaments,56025,6.277602,334.589944,0.797421,0.132136,33.074627,0.280746
Pos50_101214_079_png_filaments,57018,6.228345,336.215231,0.805249,0.098080,34.381415,0.266807
Pos50_101214_080_png_filaments,55213,5.972953,323.996474,0.804675,0.072163,33.583679,0.194219
Pos50_101214_081_png_filaments,57202,5.895610,327.638586,0.794063,0.086493,15.852785,0.168148
Pos50_101214_082_png_filaments,55731,6.232515,332.510334,0.743436,0.160701,11.132551,0.249014
Pos50_101214_083_png_filaments,54516,6.742312,342.051483,0.789248,0.000000,0.000000,0.000000
Pos50_101214_084_png_filaments,54657,6.960987,348.003306,0.801451,0.123007,15.893353,0.183741
Pos50_101214_085_png_filaments,54891,6.972861,349.044773,0.840192,0.042477,15.060299,0.141076
Pos50_101214_086_png_filaments,57228,7.209743,362.400876,0.858982,0.066371,19.431231,0.178843
Pos50_101214_087_png_filaments,54544,7.427071,359.093334,0.865182,0.000000,0.000000,0.000000
Pos50_101214_088_png_filaments,55018,7.701605,367.255309,0.877152,0.000000,0.000000,0.000000
Pos50_101214_089_png_filaments,53908,7.752535,364.731725,0.857630,0.000000,0.000000,0.000000
Pos50_101214_090_png_filaments,52982,7.550485,356.842573,0.850888,0.072913,9.776575,0.167749
