#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos44_100914_000_png_filaments,34759,1.163789,113.473858,0.106821,0.777247,31.287233,0.949063
Pos44_100914_001_png_filaments,34838,1.177595,114.274583,0.055556,0.793591,24.590457,1.086260
Pos44_100914_002_png_filaments,38546,1.162631,119.436115,0.194508,0.811315,19.873067,0.989699
Pos44_100914_003_png_filaments,38041,1.100585,115.441728,0.150546,0.980570,27.587177,1.030083
Pos44_100914_004_png_filaments,38465,1.022590,111.894490,-0.030396,0.956278,62.322473,0.786765
Pos44_100914_005_png_filaments,37285,1.020788,110.067706,0.030214,0.733165,48.260351,1.027791
Pos44_100914_006_png_filaments,36430,1.050673,110.379503,0.101934,0.765864,72.663889,1.240750
Pos44_100914_007_png_filaments,38172,1.119271,116.617881,0.169222,0.695795,31.999265,0.958162
Pos44_100914_008_png_filaments,37520,1.146882,117.035023,0.210959,0.654407,33.502991,1.130202
Pos44_100914_009_png_filaments,38505,1.249940,123.773653,0.345657,0.707265,21.198367,0.930399
Pos44_100914_010_png_filaments,38786,1.265678,125.004076,0.309738,0.597592,33.751988,0.969923
Pos44_100914_011_png_filaments,39899,1.308219,128.898034,0.370735,0.631468,34.331513,1.238273
Pos44_100914_012_png_filaments,39941,1.382761,132.589182,0.278789,0.505844,20.976100,0.778749
Pos44_100914_013_png_filaments,40981,1.364608,133.419803,0.296141,0.490041,24.908010,0.799588
Pos44_100914_014_png_filaments,39238,1.461926,135.126706,0.286469,0.517593,36.021705,0.917461
Pos44_100914_015_png_filaments,38779,1.431875,132.946197,0.344222,0.229076,50.476948,0.700526
Pos44_100914_016_png_filaments,40459,1.354339,132.067612,0.432603,0.382182,40.937209,0.684537
Pos44_100914_017_png_filaments,38536,1.252724,123.961287,0.372662,0.374082,28.019523,0.983364
Pos44_100914_018_png_filaments,39528,1.187680,122.243902,0.438448,0.503121,37.045287,1.027180
Pos44_100914_019_png_filaments,40119,1.239173,125.795783,0.355888,0.577673,48.280234,1.123775
Pos44_100914_020_png_filaments,43053,1.188299,127.611448,0.364436,0.507741,43.246299,1.114697
Pos44_100914_021_png_filaments,42030,1.195637,126.474925,0.313026,0.478952,25.663848,0.863441
Pos44_100914_022_png_filaments,42668,1.173750,126.259483,0.273272,0.409289,29.492377,0.769177
Pos44_100914_023_png_filaments,45412,1.143997,128.594626,0.421277,0.288786,19.389483,0.950054
Pos44_100914_024_png_filaments,44251,1.173750,128.580292,0.516417,0.718998,15.219163,1.121953
Pos44_100914_025_png_filaments,43084,1.238285,130.314690,0.563130,0.618911,21.716348,1.153886
Pos44_100914_026_png_filaments,42741,1.225695,129.133407,0.547494,0.643500,33.664215,1.015132
Pos44_100914_027_png_filaments,45241,1.276643,135.589448,0.563748,0.439480,16.477311,0.856471
Pos44_100914_028_png_filaments,46001,1.230243,134.215956,0.596711,0.288572,30.275129,0.866545
Pos44_100914_029_png_filaments,46332,1.144103,129.896709,0.532895,0.622678,23.305712,1.072137
Pos44_100914_030_png_filaments,46413,1.112224,128.186123,0.421572,0.221927,27.700184,0.711208
Pos44_100914_031_png_filaments,47773,1.127386,130.934061,0.513946,0.198694,32.018055,0.630756
Pos44_100914_032_png_filaments,46158,1.170951,131.164985,0.573298,0.384455,29.836859,1.260531
Pos44_100914_033_png_filaments,45156,1.241286,133.573013,0.528377,0.240498,18.959610,0.533886
Pos44_100914_034_png_filaments,47028,1.258136,137.235703,0.540032,0.248534,27.963702,1.084815
Pos44_100914_035_png_filaments,46915,1.293119,138.963316,0.536823,0.152177,39.597360,0.664059
Pos44_100914_036_png_filaments,47140,1.182870,133.225807,0.549430,0.239794,38.864882,1.066396
Pos44_100914_037_png_filaments,45018,1.148589,128.292269,0.533689,0.180243,28.124277,0.602875
Pos44_100914_038_png_filaments,46771,1.106141,128.327175,0.411376,0.206544,27.681789,0.655585
Pos44_100914_039_png_filaments,46960,1.126020,129.736494,0.451917,0.166769,31.800935,1.016653
Pos44_100914_040_png_filaments,47844,1.121240,130.673672,0.491444,0.169066,35.939208,0.817281
Pos44_100914_041_png_filaments,47265,1.156923,131.931081,0.548470,0.211360,36.639860,0.918549
Pos44_100914_042_png_filaments,46737,1.117850,128.957690,0.542950,0.171895,42.982912,0.766493
Pos44_100914_043_png_filaments,46979,1.144066,130.798416,0.543288,0.319349,29.790438,1.099131
Pos44_100914_044_png_filaments,47681,1.126878,130.778451,0.485773,0.403433,22.493341,1.071690
Pos44_100914_045_png_filaments,47140,1.117189,129.474182,0.502706,0.227378,34.964026,1.105144
Pos44_100914_046_png_filaments,47976,1.185982,134.578638,0.480500,0.179299,41.050434,1.041120
Pos44_100914_047_png_filaments,48199,1.241166,137.993621,0.510117,0.271357,31.377989,0.954654
Pos44_100914_048_png_filaments,48816,1.211319,137.194096,0.432632,0.303717,33.612921,0.910934
Pos44_100914_049_png_filaments,52094,1.267031,144.948103,0.601299,0.315253,28.961453,1.094842
Pos44_100914_050_png_filaments,48841,1.206736,136.969374,0.596184,0.209078,40.439551,1.027291
Pos44_100914_051_png_filaments,48496,1.190143,135.543156,0.534048,0.252541,22.620974,0.965108
Pos44_100914_052_png_filaments,50179,1.130789,134.393063,0.503952,0.313781,31.944181,1.183542
Pos44_100914_053_png_filaments,49150,1.152990,134.307292,0.463056,0.262786,31.012145,1.143602
Pos44_100914_054_png_filaments,50282,1.158730,136.182863,0.555549,0.283557,34.613765,1.155103
Pos44_100914_055_png_filaments,49364,1.201043,137.375571,0.507351,0.240086,26.137725,0.713407
Pos44_100914_056_png_filaments,49476,1.291191,142.599367,0.554790,0.295337,24.665760,0.748811
Pos44_100914_057_png_filaments,49209,1.335656,144.642074,0.544259,0.145977,33.252753,0.688065
Pos44_100914_058_png_filaments,49122,1.347054,145.129462,0.514796,0.202843,28.716684,0.539198
Pos44_100914_059_png_filaments,51721,1.390718,151.313632,0.570352,0.117708,26.613805,0.623732
Pos44_100914_060_png_filaments,50822,1.456585,153.503702,0.544051,0.311245,20.123023,0.599709
Pos44_100914_061_png_filaments,52705,1.459837,156.495969,0.572493,0.125513,34.682193,0.730961
Pos44_100914_062_png_filaments,54647,1.495732,161.300279,0.608310,0.139861,37.167445,0.707748
Pos44_100914_063_png_filaments,52336,1.409687,153.245127,0.626460,0.199590,30.703749,1.130132
Pos44_100914_064_png_filaments,53072,1.368629,152.054983,0.577166,0.493438,17.109404,0.734966
Pos44_100914_065_png_filaments,53313,1.318572,149.586895,0.525690,0.515486,18.413006,1.024751
Pos44_100914_066_png_filaments,51537,1.285620,145.224851,0.539078,0.315827,28.591779,0.701676
Pos44_100914_067_png_filaments,53216,1.220114,143.762753,0.529404,0.168717,28.758571,0.520067
Pos44_100914_068_png_filaments,54521,1.240981,146.753861,0.441656,0.194352,28.241581,0.491609
Pos44_100914_069_png_filaments,52885,1.223164,143.493973,0.361819,0.332097,34.963115,1.219924
Pos44_100914_070_png_filaments,55301,1.223708,146.767688,0.342200,0.394105,22.054574,0.721659
Pos44_100914_071_png_filaments,52919,1.241346,144.602999,0.377650,0.243170,24.205983,0.675880
Pos44_100914_072_png_filaments,52552,1.231960,143.554890,0.435147,0.188962,15.142582,0.800419
Pos44_100914_073_png_filaments,52229,1.227094,142.830131,0.502407,0.374321,23.554951,1.025425
Pos44_100914_074_png_filaments,53287,1.297396,148.344680,0.500778,0.762320,23.189339,0.919395
Pos44_100914_075_png_filaments,52961,1.189990,141.636376,0.584263,0.540941,25.672147,1.157990
Pos44_100914_076_png_filaments,51774,1.193354,140.237954,0.517821,0.214453,38.703791,1.274977
Pos44_100914_077_png_filaments,50398,1.225722,140.225728,0.544499,0.198641,19.534783,0.735205
Pos44_100914_078_png_filaments,51071,1.203787,139.890128,0.565133,0.202467,22.126136,0.647512
Pos44_100914_079_png_filaments,51281,1.197912,139.834960,0.600726,0.833978,26.716529,1.001556
Pos44_100914_080_png_filaments,51424,1.151748,137.305117,0.579147,0.375377,25.643406,1.106529
Pos44_100914_081_png_filaments,50595,1.157583,136.538439,0.550466,0.593472,30.000740,1.045939
Pos44_100914_082_png_filaments,50718,1.096782,133.065748,0.518139,0.368261,32.491718,0.916899
Pos44_100914_083_png_filaments,50507,1.141799,135.486392,0.528508,0.290340,28.165280,0.823922
Pos44_100914_084_png_filaments,51491,1.134454,136.359114,0.504355,0.630149,38.638041,0.765757
Pos44_100914_085_png_filaments,50392,1.127231,134.465949,0.561006,0.281029,29.285477,0.959525
Pos44_100914_086_png_filaments,50271,1.107897,133.147654,0.411937,0.506234,29.758404,0.771818
Pos44_100914_087_png_filaments,49052,1.107424,131.495348,0.147341,0.225339,6.750000,0.642054
Pos44_100914_088_png_filaments,48619,1.148470,133.317727,0.090476,0.867083,20.806646,0.988692
Pos44_100914_089_png_filaments,49266,1.191962,136.719329,0.062513,0.518901,60.939245,0.761741
Pos44_100914_090_png_filaments,50097,1.251920,141.292533,0.028271,0.577810,27.621343,0.939115
Pos44_100914_091_png_filaments,50638,1.280082,143.642260,0.017068,0.560382,22.241603,0.900108
Pos44_100914_092_png_filaments,50806,1.266943,143.140029,0.035227,0.370962,23.569546,0.900524
Pos44_100914_093_png_filaments,51279,1.250995,142.896839,0.059389,0.371505,20.334573,1.239189
Pos44_100914_094_png_filaments,53189,1.225238,144.027759,0.126072,0.443632,43.461730,1.151300
Pos44_100914_095_png_filaments,54016,1.204482,143.908494,0.149272,0.304537,45.435285,0.684984
Pos44_100914_096_png_filaments,53844,1.199653,143.390884,0.170425,0.285037,24.713358,0.583962
Pos44_100914_097_png_filaments,54326,1.185488,143.178401,0.131626,0.203510,18.057164,0.647341
Pos44_100914_098_png_filaments,54543,1.170833,142.574563,0.333335,0.551471,19.657271,0.725711
