#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos46_221014_000_png_filaments,32711,1.255376,114.329652,0.416043,0.317388,61.937447,0.771725
Pos46_221014_001_png_filaments,33356,1.235874,114.551068,0.432051,0.604380,25.774579,0.988274
Pos46_221014_002_png_filaments,31863,1.247913,112.502079,0.508282,0.354091,22.137054,0.787879
Pos46_221014_003_png_filaments,32154,1.280507,114.481034,0.489741,0.424883,24.448276,0.806820
Pos46_221014_004_png_filaments,33832,1.216664,114.465399,0.474419,0.298787,31.428819,0.969678
Pos46_221014_005_png_filaments,33529,1.099233,108.312914,0.459212,0.282060,35.979212,0.816901
Pos46_221014_006_png_filaments,32757,1.212636,112.445570,0.509036,0.421617,30.477343,0.903949
Pos46_221014_007_png_filaments,34747,1.350262,122.206060,0.436809,0.343701,27.420002,0.531995
Pos46_221014_008_png_filaments,34197,1.258891,117.061243,0.482544,0.344382,29.260419,0.840993
Pos46_221014_009_png_filaments,34825,1.224984,116.529486,0.481863,0.480854,30.993276,0.865342
Pos46_221014_010_png_filaments,35868,1.078925,110.987551,0.427778,0.486670,23.261279,0.772447
Pos46_221014_011_png_filaments,33926,1.207477,114.190723,0.470449,0.402332,47.224492,0.948449
Pos46_221014_012_png_filaments,34742,1.184977,114.474151,0.508179,0.327565,35.648486,0.801917
Pos46_221014_013_png_filaments,35936,1.067627,110.509523,0.432253,0.432840,26.469565,1.016318
Pos46_221014_014_png_filaments,36090,1.181096,116.482612,0.359138,0.352425,67.390216,0.611487
Pos46_221014_015_png_filaments,34994,1.044772,107.877933,0.366410,0.642312,20.119289,0.884492
Pos46_221014_016_png_filaments,35854,1.112639,112.686271,-0.297240,0.367791,25.226445,1.137009
Pos46_221014_017_png_filaments,35732,1.183654,116.028883,0.433655,0.229466,28.691814,0.858587
Pos46_221014_018_png_filaments,35199,1.173844,114.682042,0.463016,0.269162,27.333952,0.602596
Pos46_221014_019_png_filaments,36985,1.271081,122.327609,0.505196,0.458829,33.115152,1.026229
