#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos31_100914_000_png_filaments,10168,1.752650,75.316552,0.298007,0.000000,0.000000,0.000000
Pos31_100914_001_png_filaments,9966,1.859967,76.813600,0.609563,0.336329,26.028344,0.606866
Pos31_100914_002_png_filaments,9089,2.858497,90.939379,0.762715,0.000000,0.000000,0.000000
Pos31_100914_003_png_filaments,9373,3.529766,102.621256,0.829567,0.000000,0.000000,0.000000
Pos31_100914_004_png_filaments,10258,4.671318,123.502607,0.878027,0.000000,0.000000,0.000000
Pos31_100914_005_png_filaments,10788,5.430188,136.553540,0.841060,0.000000,0.000000,0.000000
Pos31_100914_006_png_filaments,10786,4.494564,124.222154,0.819016,0.000000,0.000000,0.000000
Pos31_100914_007_png_filaments,10687,4.502497,123.759824,0.859632,0.000000,0.000000,0.000000
Pos31_100914_008_png_filaments,10309,6.025845,140.618451,0.904436,0.000000,0.000000,0.000000
Pos31_100914_009_png_filaments,11559,5.078132,136.690140,0.857818,0.163127,3.038716,0.575219
Pos31_100914_010_png_filaments,11199,4.393538,125.147413,0.932216,0.000000,0.000000,0.000000
Pos31_100914_011_png_filaments,10981,4.386061,123.817874,0.868936,0.000000,0.000000,0.000000
Pos31_100914_012_png_filaments,9663,3.619179,105.508168,0.877369,0.000000,0.000000,0.000000
Pos31_100914_013_png_filaments,10848,3.154232,104.363039,0.835694,0.316360,26.388112,0.682439
Pos31_100914_014_png_filaments,10720,2.832182,98.306681,0.797320,0.222251,25.229793,0.439835
Pos31_100914_015_png_filaments,11218,3.682859,114.676737,0.848213,0.000000,0.000000,0.000000
Pos31_100914_016_png_filaments,11696,2.769350,101.538949,0.743156,0.000000,0.000000,0.000000
Pos31_100914_017_png_filaments,11072,2.627021,96.221001,0.659448,0.000000,0.000000,0.000000
Pos31_100914_018_png_filaments,10828,3.906778,116.040222,0.796976,0.171700,27.961330,0.358993
Pos31_100914_019_png_filaments,11407,4.565443,128.751485,0.874079,0.000000,0.000000,0.000000
Pos31_100914_020_png_filaments,11054,3.645794,113.261121,0.778326,0.000000,0.000000,0.000000
Pos31_100914_021_png_filaments,11181,4.309778,123.849094,0.756016,0.000000,0.000000,0.000000
Pos31_100914_022_png_filaments,10711,5.559585,137.676957,0.869172,0.000000,0.000000,0.000000
Pos31_100914_023_png_filaments,11883,4.229033,126.476153,0.689767,0.000000,0.000000,0.000000
Pos31_100914_024_png_filaments,11162,4.577862,127.534422,0.765493,0.000000,0.000000,0.000000
Pos31_100914_025_png_filaments,10761,5.686851,139.568465,0.693072,0.000000,0.000000,0.000000
Pos31_100914_026_png_filaments,12347,4.681925,135.649442,0.704070,0.000000,0.000000,0.000000
Pos31_100914_027_png_filaments,10767,4.193798,119.888126,0.602722,0.000000,0.000000,0.000000
Pos31_100914_028_png_filaments,10702,4.033040,117.212465,0.590179,0.000000,0.000000,0.000000
Pos31_100914_029_png_filaments,10334,7.173179,153.608456,0.843805,0.000000,0.000000,0.000000
Pos31_100914_030_png_filaments,12113,8.422532,180.207249,0.902436,0.000000,0.000000,0.000000
Pos31_100914_031_png_filaments,11211,8.667865,175.874675,0.913618,0.000000,0.000000,0.000000
Pos31_100914_032_png_filaments,10800,9.852124,184.035614,0.933153,0.000000,0.000000,0.000000
Pos31_100914_033_png_filaments,13682,12.040336,228.991393,0.920922,0.000000,0.000000,0.000000
Pos31_100914_034_png_filaments,13047,5.800869,155.212582,0.802747,0.000000,0.000000,0.000000
Pos31_100914_035_png_filaments,12772,4.044643,128.231468,0.655352,0.000000,0.000000,0.000000
Pos31_100914_036_png_filaments,13131,4.489148,136.979610,0.732781,0.000000,0.000000,0.000000
Pos31_100914_037_png_filaments,12533,3.853774,123.992582,0.625604,0.498464,30.373422,0.468113
Pos31_100914_038_png_filaments,12469,2.959543,108.381012,0.538066,0.192757,49.064405,0.347821
Pos31_100914_039_png_filaments,13739,2.879610,112.219792,0.552954,0.000000,0.000000,0.000000
Pos31_100914_040_png_filaments,12101,2.572821,99.549820,0.477690,0.000000,0.000000,0.000000
Pos31_100914_041_png_filaments,12699,3.817475,124.221830,0.604043,0.408375,30.231337,0.545920
Pos31_100914_042_png_filaments,13409,3.509577,122.391327,0.546937,0.538489,35.430851,0.699630
Pos31_100914_043_png_filaments,13631,3.206144,117.945244,0.535680,0.000000,0.000000,0.000000
Pos31_100914_044_png_filaments,14477,2.475828,106.813116,0.500128,0.880299,49.480370,0.698071
Pos31_100914_045_png_filaments,13116,2.507719,102.321100,0.434861,0.324679,39.563418,0.527803
Pos31_100914_046_png_filaments,12388,3.227614,112.814898,0.544069,0.000000,0.000000,0.000000
Pos31_100914_047_png_filaments,12506,2.986308,109.031396,0.471965,0.641901,43.048197,0.916267
Pos31_100914_048_png_filaments,11540,3.398034,111.722804,0.719399,0.000000,0.000000,0.000000
Pos31_100914_049_png_filaments,12041,3.008537,107.382626,0.548834,0.784165,28.718228,0.694911
Pos31_100914_050_png_filaments,11528,3.565808,114.388147,0.630358,0.000000,0.000000,0.000000
Pos31_100914_051_png_filaments,11759,3.076542,107.310367,0.637332,0.000000,0.000000,0.000000
Pos31_100914_052_png_filaments,12334,3.569270,118.376838,0.705951,0.430530,39.849146,0.522484
Pos31_100914_053_png_filaments,12566,3.708974,121.800896,0.705220,0.000000,0.000000,0.000000
Pos31_100914_054_png_filaments,12733,2.950040,109.346373,0.634276,0.288206,35.001854,0.420017
Pos31_100914_055_png_filaments,12908,2.950062,110.095638,0.625715,0.460987,30.127560,0.576653
Pos31_100914_056_png_filaments,12493,3.535245,118.568190,0.654383,0.270260,51.991968,0.723399
