#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
BMhMSCs_48h_10kPa_100914_000_png_filaments,28789,1.317069,109.860764,0.213825,0.602070,38.233480,0.821166
BMhMSCs_48h_10kPa_100914_001_png_filaments,30937,1.306093,113.409964,0.166628,0.777515,36.537696,0.912806
BMhMSCs_48h_10kPa_100914_002_png_filaments,30632,1.154782,106.111570,0.037377,0.887136,33.350158,0.723194
BMhMSCs_48h_10kPa_100914_003_png_filaments,32561,1.107728,107.149586,0.073310,0.794051,49.771797,1.093367
BMhMSCs_48h_10kPa_100914_004_png_filaments,32746,1.146427,109.314405,0.195285,0.617663,39.805058,0.947382
BMhMSCs_48h_10kPa_100914_005_png_filaments,33548,1.200393,113.219206,0.195408,0.869238,38.894762,0.932472
BMhMSCs_48h_10kPa_100914_006_png_filaments,32625,1.235840,113.287357,0.117414,0.995598,45.528028,0.976902
BMhMSCs_48h_10kPa_100914_007_png_filaments,32819,1.265403,114.974668,0.105867,0.699907,35.165902,1.076345
BMhMSCs_48h_10kPa_100914_008_png_filaments,34748,1.388349,123.919398,0.130572,0.818416,20.372651,0.891333
BMhMSCs_48h_10kPa_100914_009_png_filaments,33729,1.203104,113.652339,0.161095,0.552702,53.157705,0.839564
BMhMSCs_48h_10kPa_100914_010_png_filaments,34996,1.405356,125.120203,0.189557,0.338958,24.370681,0.829508
BMhMSCs_48h_10kPa_100914_011_png_filaments,35790,1.275479,120.543159,0.135371,0.842521,47.841685,0.691823
BMhMSCs_48h_10kPa_100914_012_png_filaments,33774,1.323209,119.269812,0.240139,0.561233,43.619100,0.933635
BMhMSCs_48h_10kPa_100914_013_png_filaments,35355,1.353605,123.423102,0.198468,0.385131,30.383414,0.918870
BMhMSCs_48h_10kPa_100914_014_png_filaments,34431,1.256494,117.349188,0.252050,0.684815,40.049503,1.099575
BMhMSCs_48h_10kPa_100914_015_png_filaments,35227,1.218082,116.869491,0.210858,0.837431,25.882185,1.029762
BMhMSCs_48h_10kPa_100914_016_png_filaments,37225,1.381722,127.953671,0.097240,0.716410,43.548046,0.891381
BMhMSCs_48h_10kPa_100914_017_png_filaments,35198,1.364132,123.626693,0.155358,0.792684,49.272854,0.920446
BMhMSCs_48h_10kPa_100914_018_png_filaments,34156,1.461967,126.074528,0.181755,0.668933,28.078920,1.363195
BMhMSCs_48h_10kPa_100914_019_png_filaments,36143,1.449714,129.145217,0.228701,0.710676,26.405487,1.060842
BMhMSCs_48h_10kPa_100914_020_png_filaments,37198,1.420019,129.667738,0.391241,0.877461,24.113624,0.901728
BMhMSCs_48h_10kPa_100914_021_png_filaments,39413,1.172707,121.294070,0.386994,0.246523,26.086012,0.648532
BMhMSCs_48h_10kPa_100914_022_png_filaments,40025,1.120568,119.484024,0.281757,0.832578,26.243423,0.984435
BMhMSCs_48h_10kPa_100914_023_png_filaments,38507,1.424523,132.138581,0.166337,0.665568,31.035232,1.184201
