#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos20_221014_000_png_filaments,50177,1.563605,158.030507,0.350526,0.643324,43.880293,1.094816
Pos20_221014_001_png_filaments,51253,1.536505,158.325802,0.284039,0.819175,37.710215,1.120071
Pos20_221014_002_png_filaments,52278,1.526213,159.364696,0.258074,0.898120,29.057604,0.703393
Pos20_221014_003_png_filaments,51766,1.513424,157.916560,0.311948,0.608541,30.333709,0.950092
Pos20_221014_004_png_filaments,51300,1.559452,159.576800,0.318403,0.870429,23.425104,0.857902
Pos20_221014_005_png_filaments,51822,1.584748,161.682216,0.391407,0.894182,38.285298,1.158782
Pos20_221014_006_png_filaments,53379,1.577134,163.698453,0.379454,0.726608,32.083220,1.212765
Pos20_221014_007_png_filaments,52837,1.529282,160.375464,0.359616,0.490275,20.348721,0.707872
Pos20_221014_008_png_filaments,53023,1.508731,159.574362,0.408665,0.352586,18.343627,0.941023
Pos20_221014_009_png_filaments,53719,1.474102,158.764277,0.462920,0.209840,21.825469,0.745387
Pos20_221014_010_png_filaments,53754,1.385513,153.969875,0.401323,0.223882,29.816616,1.018308
Pos20_221014_011_png_filaments,52073,1.442709,154.639605,0.332703,0.535439,29.167353,0.588694
Pos20_221014_012_png_filaments,53425,1.475349,158.396183,0.461607,0.261827,25.108844,1.244474
Pos20_221014_013_png_filaments,52603,1.519024,159.482354,0.472579,0.167787,22.741501,0.572018
Pos20_221014_014_png_filaments,53791,1.451821,157.665404,0.490657,0.183285,24.137378,0.625233
Pos20_221014_015_png_filaments,55202,1.271065,149.446707,0.498029,0.227744,23.476890,0.671875
Pos20_221014_016_png_filaments,54557,1.359731,153.665652,0.490349,0.601080,17.504329,0.802718
Pos20_221014_017_png_filaments,54671,1.486317,160.827123,0.504024,0.382919,16.177645,0.622326
Pos20_221014_018_png_filaments,54141,1.387330,154.624421,0.480896,0.168922,8.272408,0.468998
Pos20_221014_019_png_filaments,55019,1.345773,153.520832,0.445545,0.648292,27.345599,1.121978
Pos20_221014_020_png_filaments,55563,1.329951,153.368343,0.441813,0.439277,20.233241,0.674925
Pos20_221014_021_png_filaments,54433,1.408495,156.219000,0.445221,0.432890,27.266052,0.592378
