#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos68_221014_000_png_filaments,41850,2.749459,191.379942,0.625398,0.128258,44.165601,0.384896
Pos68_221014_001_png_filaments,40331,2.632470,183.834185,0.653933,0.668497,23.900974,0.904708
Pos68_221014_002_png_filaments,40819,2.482921,179.612970,0.620304,0.353327,22.102142,0.867757
Pos68_221014_003_png_filaments,39844,2.459265,176.607520,0.660171,0.916390,27.931248,1.104741
Pos68_221014_004_png_filaments,38156,2.494272,174.051748,0.662598,0.529748,16.590665,0.461356
Pos68_221014_005_png_filaments,41431,2.684714,188.164107,0.662490,0.249361,15.852520,0.449193
Pos68_221014_006_png_filaments,41187,2.533405,182.245769,0.711127,0.269317,32.262237,0.492231
Pos68_221014_007_png_filaments,41906,2.325101,176.110025,0.680455,0.727747,10.105174,0.827323
Pos68_221014_008_png_filaments,42372,2.181712,171.539150,0.648061,0.220597,14.837116,0.391884
Pos68_221014_009_png_filaments,41237,2.164357,168.551663,0.611713,0.489157,18.427427,0.659662
Pos68_221014_010_png_filaments,43161,2.116365,170.516377,0.548995,0.101318,24.329413,0.350625
Pos68_221014_011_png_filaments,44248,2.103689,172.132412,0.578009,0.307474,20.684780,0.687882
Pos68_221014_012_png_filaments,44187,2.198437,175.844720,0.552123,0.139785,18.503114,0.334466
Pos68_221014_013_png_filaments,45373,2.128464,175.330295,0.528924,0.198378,15.666990,0.635707
Pos68_221014_014_png_filaments,44979,2.073019,172.278706,0.585157,0.294253,18.846270,0.500912
Pos68_221014_015_png_filaments,46560,1.990588,171.760082,0.583481,0.231230,20.431196,0.581971
Pos68_221014_016_png_filaments,46572,1.874628,166.703630,0.597975,0.139595,22.238840,0.450848
Pos68_221014_017_png_filaments,44384,1.832169,160.887035,0.548395,0.230142,14.573043,0.392141
Pos68_221014_018_png_filaments,45710,1.742128,159.210132,0.623422,0.258150,17.967637,0.710596
Pos68_221014_019_png_filaments,45721,1.722920,158.349056,0.576309,0.205521,20.837607,0.408984
Pos68_221014_020_png_filaments,46918,1.712865,159.939736,0.625400,0.363042,15.610546,0.611772
Pos68_221014_021_png_filaments,47350,1.600802,155.329471,0.505799,0.378687,25.616550,0.593399
Pos68_221014_022_png_filaments,54719,1.649939,169.522787,0.589086,0.397594,17.601075,0.755142
Pos68_221014_023_png_filaments,53052,1.587931,163.753939,0.603777,0.517502,21.981722,0.854267
Pos68_221014_024_png_filaments,51793,1.550121,159.861320,0.604846,0.343882,11.086190,0.499660
Pos68_221014_025_png_filaments,50877,1.536367,157.736898,0.584383,0.988393,25.805770,0.877380
Pos68_221014_026_png_filaments,49990,1.649871,162.028580,0.604842,0.719538,21.266667,0.600713
Pos68_221014_027_png_filaments,53533,1.803577,175.308590,0.638416,0.798671,29.466840,0.487679
