#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos08_100914_000_png_filaments,47656,1.274253,139.031013,0.089948,0.823654,88.810635,1.284968
Pos08_100914_001_png_filaments,47151,1.271787,138.158531,0.073782,0.856797,89.760332,0.873678
Pos08_100914_002_png_filaments,48191,1.255925,138.800134,0.097338,0.897388,85.225309,0.754912
Pos08_100914_003_png_filaments,48436,1.222066,137.263961,0.138019,0.911225,41.827767,0.998384
Pos08_100914_004_png_filaments,48069,1.230192,137.196823,0.107235,0.945330,24.295730,0.786161
Pos08_100914_005_png_filaments,49793,1.228781,139.555338,0.118822,0.900720,54.357427,0.823860
Pos08_100914_006_png_filaments,49050,1.242811,139.298716,0.149263,0.918684,48.187564,0.749300
Pos08_100914_007_png_filaments,48449,1.265673,139.710237,0.166833,0.825559,35.304354,0.793721
Pos08_100914_008_png_filaments,49155,1.321762,143.808827,0.162353,0.681040,54.037877,1.065847
Pos08_100914_009_png_filaments,52899,1.418026,154.522203,0.177518,0.833581,30.193694,0.815147
Pos08_100914_010_png_filaments,52140,1.362070,150.352374,0.174846,0.817883,32.599903,0.888754
Pos08_100914_011_png_filaments,51203,1.318083,146.569682,0.113195,0.699030,54.526504,0.839468
Pos08_100914_012_png_filaments,49438,1.298646,142.955510,0.109277,0.657041,50.401390,0.863140
Pos08_100914_013_png_filaments,48659,1.271459,140.332361,0.098018,0.617165,38.404825,0.832415
Pos08_100914_014_png_filaments,50148,1.193091,138.003041,0.132954,0.543939,36.665833,0.898074
Pos08_100914_015_png_filaments,50137,1.210411,138.985875,0.171544,0.558052,37.398360,0.767379
Pos08_100914_016_png_filaments,50489,1.173958,137.356661,0.228474,0.431533,29.899475,0.592918
Pos08_100914_017_png_filaments,51024,1.148343,136.567741,0.277326,0.672968,38.630490,0.892568
Pos08_100914_018_png_filaments,51814,1.174861,139.200843,0.282537,0.470277,40.578058,0.786139
Pos08_100914_019_png_filaments,49179,1.157777,134.625512,0.291188,0.439362,35.838068,0.663618
Pos08_100914_020_png_filaments,49088,1.162781,134.791248,0.324889,0.740602,34.485006,0.995284
Pos08_100914_021_png_filaments,50573,1.128608,134.789475,0.322601,0.524491,38.192038,0.822145
Pos08_100914_022_png_filaments,51963,1.117148,135.933822,0.347896,0.484064,35.732569,1.040587
Pos08_100914_023_png_filaments,51729,1.103538,134.798714,0.290421,0.492706,34.036731,0.768333
Pos08_100914_024_png_filaments,51461,1.110761,134.888363,0.243373,0.454851,60.972535,0.871833
Pos08_100914_025_png_filaments,50498,1.143939,135.601216,0.324464,0.478074,29.081895,0.747413
Pos08_100914_026_png_filaments,50047,1.167617,136.384273,0.344357,0.631329,32.671548,0.886072
Pos08_100914_027_png_filaments,51692,1.253092,143.591327,0.379874,0.237886,48.769118,0.600452
Pos08_100914_028_png_filaments,50930,1.228304,141.112288,0.353800,0.447264,36.083054,0.747273
Pos08_100914_029_png_filaments,50039,1.207227,138.667231,0.408744,0.332949,47.703232,0.721571
Pos08_100914_030_png_filaments,51356,1.238071,142.263482,0.375174,0.330691,41.781954,0.711961
Pos08_100914_031_png_filaments,50170,1.172840,136.856837,0.392416,0.581939,55.657106,1.085100
Pos08_100914_032_png_filaments,50254,1.173585,137.014855,0.407237,0.324379,56.360532,0.752344
Pos08_100914_033_png_filaments,52451,1.213141,142.317265,0.441994,0.612621,18.474415,1.013805
Pos08_100914_034_png_filaments,53200,1.244162,145.150770,0.455031,0.323445,30.871319,0.678201
Pos08_100914_035_png_filaments,53576,1.220909,144.295189,0.445362,0.309131,27.182779,0.715015
Pos08_100914_036_png_filaments,52297,1.194811,141.030504,0.425660,0.217321,50.444765,0.532859
Pos08_100914_037_png_filaments,50847,1.193513,138.986080,0.462912,0.171889,59.530135,0.383396
Pos08_100914_038_png_filaments,51203,1.242656,142.314197,0.487544,0.205619,44.232143,0.390577
Pos08_100914_039_png_filaments,51328,1.237078,142.167647,0.461162,0.523680,25.215593,0.702292
Pos08_100914_040_png_filaments,49614,1.267410,141.476969,0.505097,0.228281,40.903787,0.486176
Pos08_100914_041_png_filaments,51618,1.283296,145.207507,0.465111,0.215461,57.157862,0.505923
Pos08_100914_042_png_filaments,53111,1.294704,147.945768,0.404978,0.174526,44.067565,0.425336
Pos08_100914_043_png_filaments,52459,1.296057,147.111667,0.443782,0.182828,47.201470,0.406954
Pos08_100914_044_png_filaments,51677,1.343293,148.648005,0.434037,0.204271,50.879747,0.482391
Pos08_100914_045_png_filaments,50493,1.408792,150.474909,0.393550,0.187984,52.489817,0.468814
Pos08_100914_046_png_filaments,51644,1.395379,151.454119,0.422062,0.202452,37.889919,0.396746
Pos08_100914_047_png_filaments,54269,1.477545,159.761206,0.486545,0.317401,47.059646,0.678876
Pos08_100914_048_png_filaments,52115,1.444839,154.816114,0.477592,0.287178,59.283592,0.616836
Pos08_100914_049_png_filaments,53537,1.435619,156.412579,0.445462,0.421576,52.913551,0.737317
Pos08_100914_050_png_filaments,53372,1.449476,156.923258,0.498293,0.282474,47.688730,0.550443
Pos08_100914_051_png_filaments,53824,1.457369,158.014816,0.519700,0.241240,55.737901,0.608752
Pos08_100914_052_png_filaments,56377,1.397888,158.384337,0.529338,0.784484,33.128463,0.955835
Pos08_100914_053_png_filaments,55300,1.376554,155.662591,0.531786,0.546042,33.350696,0.929318
Pos08_100914_054_png_filaments,54798,1.369745,154.570737,0.549026,0.312913,33.478777,0.718438
Pos08_100914_055_png_filaments,54730,1.364645,154.186955,0.548195,0.126208,31.992431,0.409572
Pos08_100914_056_png_filaments,55611,1.401852,157.527542,0.514144,0.185233,26.070709,0.797257
Pos08_100914_057_png_filaments,56587,1.424704,160.193806,0.535848,0.126430,58.940722,0.483466
Pos08_100914_058_png_filaments,57010,1.489682,164.417245,0.528674,0.227071,47.685129,0.511265
Pos08_100914_059_png_filaments,57441,1.482190,164.622047,0.493398,0.156192,45.026748,0.375462
Pos08_100914_060_png_filaments,56662,1.527999,166.009349,0.506107,0.241131,25.107806,0.591958
Pos08_100914_061_png_filaments,55338,1.552188,165.351810,0.537470,0.214882,35.996403,0.505346
Pos08_100914_062_png_filaments,54907,1.590236,166.713094,0.508345,0.424882,32.779641,0.612295
Pos08_100914_063_png_filaments,54570,1.584830,165.917953,0.497678,0.281717,39.406901,0.457632
Pos08_100914_064_png_filaments,55461,1.561972,166.056367,0.502507,0.470588,35.581264,0.687292
Pos08_100914_065_png_filaments,51794,1.507528,157.651273,0.471455,0.536488,35.953389,0.680599
Pos08_100914_066_png_filaments,52283,1.526834,159.404737,0.450462,0.414039,35.627873,0.562235
Pos08_100914_067_png_filaments,51280,1.537016,158.393832,0.478409,0.557032,35.798207,0.711209
Pos08_100914_068_png_filaments,53676,1.478698,158.947930,0.522546,0.599999,34.238271,0.629458
Pos08_100914_069_png_filaments,52675,1.442208,155.503900,0.543411,0.513633,36.711242,0.758044
Pos08_100914_070_png_filaments,53234,1.403021,154.188399,0.582025,0.673383,33.096916,0.566966
Pos08_100914_071_png_filaments,54639,1.399899,156.035992,0.596700,0.518670,34.476307,0.635938
Pos08_100914_072_png_filaments,55443,1.461483,160.599914,0.625688,0.623285,32.508888,0.708229
Pos08_100914_073_png_filaments,54885,1.469121,160.206702,0.640696,0.617826,33.279472,0.728261
Pos08_100914_074_png_filaments,53940,1.422389,156.275079,0.641156,0.586429,34.610838,0.784369
Pos08_100914_075_png_filaments,55519,1.413222,158.034197,0.639917,0.676898,32.374401,0.823856
Pos08_100914_076_png_filaments,57062,1.492076,164.624333,0.657353,0.450641,33.693567,0.672496
Pos08_100914_077_png_filaments,56197,1.503034,163.970617,0.638767,0.621016,32.258331,0.796023
Pos08_100914_078_png_filaments,56795,1.510487,165.248913,0.613130,0.540950,29.788040,0.770231
Pos08_100914_079_png_filaments,57507,1.481388,164.672026,0.595119,0.496736,32.670106,0.729013
Pos08_100914_080_png_filaments,58491,1.436299,163.527958,0.501033,0.364851,25.889432,0.698263
Pos08_100914_081_png_filaments,55663,1.557637,166.127487,0.596148,0.377293,25.557235,0.637129
Pos08_100914_082_png_filaments,57970,1.549742,169.104987,0.603071,0.373085,30.748500,0.688294
Pos08_100914_083_png_filaments,55279,1.565189,165.954313,0.631001,0.429193,28.041365,0.715835
Pos08_100914_084_png_filaments,52329,1.584812,162.474480,0.660284,0.353372,36.023419,0.690331
Pos08_100914_085_png_filaments,52718,1.578876,162.771564,0.691507,0.458994,28.444164,0.695420
Pos08_100914_086_png_filaments,52497,1.602327,163.631865,0.698188,0.212291,24.959491,0.415417
Pos08_100914_087_png_filaments,56427,1.613656,170.244865,0.679911,0.232260,31.601156,0.419429
Pos08_100914_088_png_filaments,55923,1.637429,170.726734,0.678281,0.226896,27.754979,0.467018
Pos08_100914_089_png_filaments,56034,1.613656,169.650973,0.702992,0.328223,21.109500,0.677141
Pos08_100914_090_png_filaments,57411,1.554746,168.559154,0.723088,0.346459,23.077518,0.682761
Pos08_100914_091_png_filaments,58668,1.537096,169.424495,0.707851,0.369943,21.288475,0.689169
Pos08_100914_092_png_filaments,56993,1.539339,167.110199,0.698794,0.172290,17.880005,0.693244
Pos08_100914_093_png_filaments,55791,1.520508,164.324186,0.708848,0.273827,25.611784,0.708364
Pos08_100914_094_png_filaments,54491,1.471486,159.759068,0.705728,0.148387,26.834378,0.466804
Pos08_100914_095_png_filaments,54129,1.418650,156.342732,0.683480,0.427891,21.278080,0.662672
Pos08_100914_096_png_filaments,56619,1.350877,156.032139,0.619361,0.694602,22.624342,0.678034
Pos08_100914_097_png_filaments,58282,1.285636,154.436979,0.595375,0.397055,24.855682,0.526730
Pos08_100914_098_png_filaments,58680,1.295594,155.562380,0.416192,0.335114,24.093822,0.564148
Pos08_100914_099_png_filaments,60709,1.287497,157.733781,0.459596,0.173403,18.619492,0.713206
Pos08_100914_100_png_filaments,59600,1.298031,156.924489,0.418400,0.174220,23.634615,0.806393
Pos08_100914_101_png_filaments,58002,1.301914,155.037835,0.325115,0.289454,18.806361,0.984655
