#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos14_000_png_filaments,32431,1.413428,120.793086,0.267098,0.640144,30.321299,1.008143
Pos14_001_png_filaments,32291,1.449096,122.043425,0.326880,0.975228,43.742153,0.998870
Pos14_002_png_filaments,33021,1.382454,120.543977,0.375010,0.737356,45.305431,0.918285
Pos14_003_png_filaments,32545,1.306509,116.338485,0.403857,0.370727,30.748628,0.844278
Pos14_004_png_filaments,33421,1.283670,116.858815,0.334624,0.779172,25.242721,1.046243
Pos14_005_png_filaments,33266,1.242385,114.697368,0.351336,0.522853,45.760152,1.029753
Pos14_006_png_filaments,33202,1.084287,107.048185,0.302954,0.759191,28.440295,1.040399
Pos14_007_png_filaments,34416,1.083270,108.936550,0.285839,0.309295,18.573009,1.100286
Pos14_008_png_filaments,34062,1.023264,105.330460,-0.271353,0.751159,30.862172,1.129569
Pos14_009_png_filaments,35523,1.112484,112.157099,0.177204,0.642006,27.214398,1.032648
Pos14_010_png_filaments,34505,1.235490,116.489209,0.272994,0.693055,28.625054,0.948210
Pos14_011_png_filaments,34566,1.271600,118.283695,0.325141,0.978534,28.911751,1.024942
Pos14_012_png_filaments,34890,1.231304,116.938681,0.380813,0.857023,19.371417,0.836094
Pos14_013_png_filaments,34324,1.165084,112.824295,0.361628,0.430271,28.418102,1.019526
Pos14_014_png_filaments,34952,1.165502,113.872168,0.293599,0.397962,36.122594,1.011870
Pos14_015_png_filaments,35452,1.099845,111.406665,-0.017461,0.525887,32.208715,1.072678
Pos14_016_png_filaments,33286,1.056082,105.780274,-0.294007,0.422210,29.810535,1.087924
Pos14_017_png_filaments,34812,1.077120,109.250037,-0.270250,0.841320,40.817194,0.996206
Pos14_018_png_filaments,33326,1.237263,114.563868,0.417149,0.327660,24.485994,0.993066
Pos14_019_png_filaments,33533,1.273327,116.581930,0.491585,0.586515,27.171812,0.978619
Pos14_020_png_filaments,34191,1.224537,115.442818,0.375737,0.495314,36.829552,0.891527
Pos14_021_png_filaments,34676,1.161385,113.221177,0.323584,0.740297,31.832093,1.001924
Pos14_022_png_filaments,33277,1.123842,109.106286,0.251361,0.606743,25.381722,0.944105
Pos14_023_png_filaments,35708,1.162785,114.962854,0.268709,0.298229,20.151220,0.670137
