#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos21_100914_000_png_filaments,23471,1.167818,93.406789,-0.076782,0.738377,77.890100,1.053311
Pos21_100914_001_png_filaments,24841,1.218541,98.158898,-0.046751,0.850820,39.549501,0.906167
Pos21_100914_002_png_filaments,24160,1.171382,94.912366,0.112259,0.867167,31.681574,1.072227
Pos21_100914_003_png_filaments,24603,1.128035,93.989726,0.098892,0.914712,29.923661,0.995348
Pos21_100914_004_png_filaments,24935,1.119093,94.245981,0.129351,0.853124,27.111651,0.939524
Pos21_100914_005_png_filaments,25402,1.101827,94.387769,-0.000761,0.825374,26.469708,0.932118
Pos21_100914_006_png_filaments,23956,1.065059,90.119557,0.251298,0.622250,24.913708,1.406309
Pos21_100914_007_png_filaments,24250,1.137484,93.703018,0.403366,0.556173,23.459381,0.977911
Pos21_100914_008_png_filaments,23913,1.333891,100.763273,0.452215,0.292013,35.581534,0.871146
Pos21_100914_009_png_filaments,24945,1.415766,106.026043,0.416302,0.419705,32.725422,1.079645
Pos21_100914_010_png_filaments,24149,1.303997,100.118177,0.444498,0.219257,31.613968,1.115950
Pos21_100914_011_png_filaments,24485,1.186090,96.146601,0.368280,0.343242,76.870998,0.908534
Pos21_100914_012_png_filaments,22317,1.291070,95.767437,0.366504,0.358161,80.420693,0.898136
Pos21_100914_013_png_filaments,21882,1.443110,100.257827,0.391388,0.352203,31.128438,0.894981
Pos21_100914_014_png_filaments,23032,1.393408,101.071809,0.435128,0.255626,19.266160,0.689858
Pos21_100914_015_png_filaments,23780,1.330623,100.359502,0.418738,0.483585,25.485684,0.671237
Pos21_100914_016_png_filaments,24334,1.255578,98.617426,0.349437,0.815255,27.091653,1.121818
Pos21_100914_017_png_filaments,23166,1.186869,93.551764,0.399799,0.690658,30.209949,0.874490
Pos21_100914_018_png_filaments,25160,1.115197,94.505302,0.243062,0.901939,24.428893,0.967238
Pos21_100914_019_png_filaments,25403,1.069040,92.974648,0.151705,0.685161,23.270611,0.613349
Pos21_100914_020_png_filaments,25661,1.030203,91.732505,0.054768,0.724438,40.821409,0.940998
Pos21_100914_021_png_filaments,25976,1.070795,94.094528,0.097645,0.529170,23.202665,0.796028
Pos21_100914_022_png_filaments,25031,1.060323,91.914336,0.161169,0.899142,34.971099,1.417098
Pos21_100914_023_png_filaments,25098,1.138491,95.369481,0.041031,0.456426,33.320296,0.866141
Pos21_100914_024_png_filaments,24987,1.187914,97.201870,0.191082,0.699683,24.871799,0.861837
Pos21_100914_025_png_filaments,24945,1.208215,97.946501,0.270113,0.843944,39.988693,1.027396
Pos21_100914_026_png_filaments,25594,1.143978,96.539041,0.293696,0.601887,31.531725,1.009356
Pos21_100914_027_png_filaments,27273,1.109989,98.163685,0.169359,0.600031,29.568367,0.912466
Pos21_100914_028_png_filaments,26651,1.077357,95.600824,0.008832,0.714403,27.871217,1.416582
Pos21_100914_029_png_filaments,26813,1.095333,96.687616,0.289464,0.235953,30.976219,0.541390
Pos21_100914_030_png_filaments,27417,1.079368,97.055421,0.252588,0.384457,29.554622,0.941468
Pos21_100914_031_png_filaments,27718,1.118707,99.349157,0.274471,0.547815,29.995126,0.889851
Pos21_100914_032_png_filaments,28224,1.144713,101.410436,0.290205,0.540377,26.279969,0.886009
Pos21_100914_033_png_filaments,28343,1.136273,101.248667,0.253354,0.326753,48.546977,0.664942
Pos21_100914_034_png_filaments,28006,1.295551,107.467677,0.331726,0.321165,25.286786,0.867574
