#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos61_040215_000_png_filaments,99942,1.040649,181.949646,0.032652,0.490319,31.159156,0.702174
Pos61_040215_001_png_filaments,104430,1.059195,187.640103,0.280058,0.362209,27.714255,0.468977
Pos61_040215_002_png_filaments,103506,1.148101,194.490267,0.307015,0.454370,25.399940,0.612946
Pos61_040215_003_png_filaments,103031,1.221456,200.146469,0.369395,0.306617,19.788405,0.474362
Pos61_040215_004_png_filaments,105199,1.247931,204.421304,0.365193,0.509822,22.780985,0.893051
Pos61_040215_005_png_filaments,106866,1.174452,199.876840,0.254152,0.272974,37.731914,0.508983
Pos61_040215_006_png_filaments,104216,1.120550,192.800379,-0.093887,0.367861,20.025886,0.800100
Pos61_040215_007_png_filaments,105651,1.091019,191.548178,-0.078280,0.571380,15.562354,0.982343
Pos61_040215_008_png_filaments,103140,1.078425,188.162727,0.365633,0.316521,47.451916,0.848061
Pos61_040215_009_png_filaments,100305,1.213218,196.813904,0.596787,0.130369,32.534104,0.497237
Pos61_040215_010_png_filaments,98778,1.294120,201.716977,0.593417,0.232021,22.846318,0.801542
Pos61_040215_011_png_filaments,100561,1.336188,206.811002,0.591398,0.201805,23.759403,0.692295
Pos61_040215_012_png_filaments,100164,1.269284,201.168647,0.555143,0.345905,38.577014,0.913892
Pos61_040215_013_png_filaments,101896,1.210628,198.156803,0.551900,0.251491,30.912285,0.529105
Pos61_040215_014_png_filaments,106497,1.260741,206.731515,0.584154,0.307461,24.562883,0.878197
Pos61_040215_015_png_filaments,107227,1.252987,206.799947,0.546243,0.268759,30.725408,0.778422
Pos61_040215_016_png_filaments,105495,1.269133,206.440342,0.577045,0.222982,23.193216,0.560768
Pos61_040215_017_png_filaments,106237,1.322124,211.445797,0.623990,0.179627,26.545831,0.542969
Pos61_040215_018_png_filaments,108191,1.382299,218.183361,0.712504,0.139151,19.739130,0.378391
Pos61_040215_019_png_filaments,106992,1.380696,216.845168,0.703570,0.170403,20.436706,0.689445
Pos61_040215_020_png_filaments,103967,1.483794,221.594830,0.727729,0.249384,19.867071,0.757065
Pos61_040215_021_png_filaments,102661,1.562179,225.940042,0.759905,0.249818,22.091298,0.717524
Pos61_040215_022_png_filaments,104655,1.606614,231.345378,0.760597,0.309246,21.632800,0.790889
Pos61_040215_023_png_filaments,108118,1.662463,239.193877,0.685903,0.077705,19.195090,0.298585
Pos61_040215_024_png_filaments,105412,1.583153,230.479092,0.706057,0.147803,22.682123,0.601445
Pos61_040215_025_png_filaments,107693,1.503452,227.019720,0.729199,0.108041,16.275929,0.374429
Pos61_040215_026_png_filaments,108150,1.511769,228.129287,0.730627,0.114218,22.244085,0.373924
Pos61_040215_027_png_filaments,107485,1.485962,225.477310,0.728275,0.111990,19.632415,0.583749
Pos61_040215_028_png_filaments,108648,1.436126,222.860040,0.713992,0.127285,23.239970,0.469559
Pos61_040215_029_png_filaments,109445,1.399122,220.775470,0.709106,0.272601,23.332960,0.964602
Pos61_040215_030_png_filaments,108666,1.428533,222.288524,0.684886,0.100614,21.214286,0.428770
Pos61_040215_031_png_filaments,108706,1.411182,220.975098,0.667505,0.102013,22.516315,0.476934
Pos61_040215_032_png_filaments,109155,1.407227,221.120475,0.647298,0.044975,28.801687,0.261509
Pos61_040215_033_png_filaments,110001,1.398799,221.309999,0.666389,0.046024,25.864337,0.636285
Pos61_040215_034_png_filaments,110809,1.424786,224.175114,0.684333,0.039893,32.953931,0.452148
Pos61_040215_035_png_filaments,111681,1.451890,227.186001,0.651588,0.063766,18.901684,0.400102
Pos61_040215_036_png_filaments,109287,1.360810,217.574533,0.638697,0.102013,36.347705,0.934296
Pos61_040215_037_png_filaments,111118,1.315139,215.676635,0.648538,0.050909,25.429985,0.392484
Pos61_040215_038_png_filaments,112651,1.298282,215.763067,0.590397,0.079631,20.676816,0.709047
Pos61_040215_039_png_filaments,115965,1.299386,219.006811,0.558289,0.057831,34.871330,0.775715
Pos61_040215_040_png_filaments,115727,1.266929,216.032230,0.531625,0.085350,31.792373,0.498766
Pos61_040215_041_png_filaments,116372,1.253516,215.483615,0.563687,0.110955,21.160694,0.591630
Pos61_040215_042_png_filaments,115080,1.251567,214.117439,0.527873,0.083146,28.917647,0.543040
Pos61_040215_043_png_filaments,113095,1.310153,217.173971,0.620982,0.093004,28.864303,0.514158
Pos61_040215_044_png_filaments,114514,1.357652,222.458286,0.697544,0.066266,29.211684,0.500068
Pos61_040215_045_png_filaments,114039,1.291059,216.483503,0.645565,0.051980,25.709811,0.340482
Pos61_040215_046_png_filaments,115327,1.284875,217.180586,0.629408,0.071870,29.078980,0.587118
Pos61_040215_047_png_filaments,115513,1.281640,217.081853,0.594963,0.076726,26.415752,0.496090
Pos61_040215_048_png_filaments,118780,1.265451,218.735559,0.540898,0.077753,34.098603,0.683397
Pos61_040215_049_png_filaments,118961,1.284598,220.551993,0.493417,0.074445,29.740741,0.782591
Pos61_040215_050_png_filaments,118345,1.282485,219.799230,0.504669,0.059269,32.656322,0.612028
Pos61_040215_051_png_filaments,116423,1.362974,224.744070,0.595437,0.090173,30.934526,0.867838
Pos61_040215_052_png_filaments,115152,1.411521,227.459708,0.621530,0.069171,34.247783,0.497902
Pos61_040215_053_png_filaments,111572,1.370141,220.589737,0.600134,0.065640,29.654303,0.582165
Pos61_040215_054_png_filaments,110562,1.349650,217.940822,0.622537,0.066783,31.412567,0.644311
Pos61_040215_055_png_filaments,114103,1.408055,226.143133,0.654276,0.063517,24.931129,0.230954
Pos61_040215_056_png_filaments,110726,1.412057,223.087883,0.578796,0.065643,30.049504,0.878476
Pos61_040215_057_png_filaments,113244,1.425021,226.643514,0.592830,0.053704,24.188041,0.406500
Pos61_040215_058_png_filaments,113883,1.467516,230.646004,0.651027,0.062499,28.258592,0.927167
Pos61_040215_059_png_filaments,111508,1.421859,224.649958,0.639232,0.077502,25.798236,0.629851
Pos61_040215_060_png_filaments,112302,1.491728,230.921106,0.707326,0.058352,25.942940,0.622132
Pos61_040215_061_png_filaments,113094,1.537904,235.293245,0.702619,0.056533,19.178908,0.297480
Pos61_040215_062_png_filaments,113567,1.613565,241.515146,0.727974,0.090191,24.154858,0.562428
Pos61_040215_063_png_filaments,114546,1.666743,246.518404,0.739924,0.078290,19.766117,0.362559
Pos61_040215_064_png_filaments,111158,1.611102,238.757456,0.739214,0.060961,24.002244,0.251608
Pos61_040215_065_png_filaments,112854,1.603911,240.034504,0.708192,0.044027,22.152486,0.282893
Pos61_040215_066_png_filaments,114707,1.602069,241.858097,0.705403,0.049236,21.878910,0.595054
Pos61_040215_067_png_filaments,111129,1.583578,236.678330,0.712215,0.050771,31.137163,0.830634
Pos61_040215_068_png_filaments,114635,1.582328,240.287919,0.694893,0.043282,34.924835,0.351018
Pos61_040215_069_png_filaments,111717,1.635722,241.178974,0.725901,0.080196,19.708932,0.331735
Pos61_040215_070_png_filaments,106428,1.582557,231.543553,0.738344,0.033407,38.505835,0.293909
Pos61_040215_071_png_filaments,107341,1.622669,235.463096,0.745997,0.022664,31.718904,0.369613
Pos61_040215_072_png_filaments,107613,1.663002,238.673289,0.751180,0.046782,30.375153,0.569257
Pos61_040215_073_png_filaments,103987,1.659659,234.381873,0.749072,0.042415,22.970186,0.253502
Pos61_040215_074_png_filaments,105142,1.696141,238.256170,0.761829,0.035085,22.440333,0.270957
Pos61_040215_075_png_filaments,106774,1.805561,247.721615,0.696018,0.000000,0.000000,0.000000
Pos61_040215_076_png_filaments,106794,1.741387,243.302257,0.690307,0.024871,30.266860,0.501001
Pos61_040215_077_png_filaments,107739,1.695491,241.134459,0.691898,0.025977,33.310668,0.482997
Pos61_040215_078_png_filaments,111672,1.688858,245.015623,0.708995,0.046109,24.166434,0.329663
Pos61_040215_079_png_filaments,108375,1.696558,241.921225,0.700861,0.023517,19.675395,0.239317
Pos61_040215_080_png_filaments,107675,1.731898,243.637233,0.720718,0.042998,31.731215,0.778713
Pos61_040215_081_png_filaments,108781,1.702405,242.791249,0.718795,0.021011,34.500436,0.384058
Pos61_040215_082_png_filaments,109595,1.754925,247.428495,0.731241,0.024311,35.149925,0.263045
Pos61_040215_083_png_filaments,112035,1.709106,246.880291,0.735085,0.025994,37.903474,0.268644
Pos61_040215_084_png_filaments,115254,1.801128,257.054585,0.746058,0.000000,0.000000,0.000000
Pos61_040215_085_png_filaments,113019,1.803693,254.731177,0.771623,0.039155,32.488248,0.304426
Pos61_040215_086_png_filaments,116331,1.842648,261.212517,0.727395,0.000000,0.000000,0.000000
Pos61_040215_087_png_filaments,114706,1.935329,265.824823,0.771533,0.035716,31.992908,0.294361
Pos61_040215_088_png_filaments,110541,1.950053,261.944911,0.747093,0.000000,0.000000,0.000000
Pos61_040215_089_png_filaments,110688,1.992739,264.972341,0.767868,0.034742,28.452108,0.436284
Pos61_040215_090_png_filaments,113782,2.033349,271.373732,0.756360,0.000000,0.000000,0.000000
Pos61_040215_091_png_filaments,114605,1.963011,267.601296,0.747778,0.036934,26.084440,0.376434
Pos61_040215_092_png_filaments,115723,1.997641,271.264915,0.739380,0.043365,35.623956,0.344081
Pos61_040215_093_png_filaments,113402,1.932278,264.101109,0.752928,0.023792,38.702916,0.281985
Pos61_040215_094_png_filaments,113146,1.946807,264.792765,0.754684,0.054199,31.499048,0.373968
Pos61_040215_095_png_filaments,114175,1.912812,263.661499,0.763547,0.038465,29.187408,0.363548
Pos61_040215_096_png_filaments,113251,1.947013,264.929617,0.776690,0.000000,0.000000,0.000000
Pos61_040215_097_png_filaments,111098,1.969601,263.916967,0.755484,0.061320,37.894827,0.392292
Pos61_040215_098_png_filaments,109405,2.046237,266.944892,0.767968,0.023004,40.623560,0.276519
Pos61_040215_099_png_filaments,112521,2.117172,275.372093,0.741255,0.023456,45.048951,0.326375
Pos61_040215_100_png_filaments,112208,2.097283,273.694136,0.755865,0.036205,39.428543,0.445467
Pos61_040215_101_png_filaments,111049,2.098844,272.378277,0.774820,0.021406,22.758947,0.370102
Pos61_040215_102_png_filaments,113925,2.117131,277.082085,0.752907,0.000000,0.000000,0.000000
Pos61_040215_103_png_filaments,119137,2.095902,281.925188,0.743560,0.029260,36.815587,0.402311
Pos61_040215_104_png_filaments,115668,2.165565,282.369177,0.732395,0.034685,35.151417,0.316254
Pos61_040215_105_png_filaments,115220,2.157022,281.265384,0.754972,0.038695,30.739299,0.366776
Pos61_040215_106_png_filaments,114079,2.207140,283.101947,0.760333,0.033436,32.546137,0.348121
Pos61_040215_107_png_filaments,113520,2.274354,286.675307,0.749761,0.035909,32.890440,0.393318
Pos61_040215_108_png_filaments,114733,2.321442,291.171026,0.757684,0.031495,34.685797,0.252777
Pos61_040215_109_png_filaments,114035,2.335408,291.155855,0.744108,0.033097,36.932790,0.364811
Pos61_040215_110_png_filaments,114983,2.368953,294.455793,0.717330,0.070820,36.714204,0.604161
Pos61_040215_111_png_filaments,115124,2.346780,293.254164,0.717879,0.038155,36.999105,0.358609
Pos61_040215_112_png_filaments,114382,2.398189,295.491920,0.719885,0.024818,39.147020,0.231298
