#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos67_1_040215_000_png_filaments,40180,1.096903,118.444293,0.178057,0.747480,58.827554,0.664775
Pos67_1_040215_001_png_filaments,36625,1.197901,118.174655,0.151294,0.484151,49.590204,0.906963
Pos67_1_040215_002_png_filaments,34987,1.623565,134.466238,0.338985,0.379002,36.995203,0.843040
Pos67_1_040215_003_png_filaments,38004,1.884106,150.970601,0.402917,0.957674,28.622638,1.326471
Pos67_1_040215_004_png_filaments,37651,1.964075,153.423665,0.368128,0.889231,24.282543,1.015278
Pos67_1_040215_005_png_filaments,37617,2.189718,161.924004,0.475984,0.793708,27.263243,1.338917
Pos67_1_040215_006_png_filaments,38818,2.193789,164.641406,0.601414,0.620202,25.059840,0.716754
Pos67_1_040215_007_png_filaments,39202,1.852229,152.029026,0.508111,0.961729,38.875807,0.848484
Pos67_1_040215_008_png_filaments,38615,1.952118,154.901675,0.446676,0.801151,45.990426,0.777362
Pos67_1_040215_009_png_filaments,38374,1.789090,147.829018,0.506977,0.705715,45.824658,0.719234
Pos67_1_040215_010_png_filaments,37945,1.850822,149.514966,0.484623,0.979756,34.448247,0.687493
Pos67_1_040215_011_png_filaments,39253,1.662549,144.128118,0.354241,0.825673,41.440322,0.634669
Pos67_1_040215_012_png_filaments,41122,1.763318,151.924389,0.330872,0.675841,39.585681,0.564790
Pos67_1_040215_013_png_filaments,38734,1.674327,143.678365,0.309565,0.663893,28.869865,0.952491
Pos67_1_040215_014_png_filaments,38110,1.709897,144.022224,0.387745,0.934663,31.681469,0.701603
Pos67_1_040215_015_png_filaments,37349,1.863673,148.850195,0.359838,0.846947,28.499381,1.160765
Pos67_1_040215_016_png_filaments,37145,1.972039,152.697875,0.568231,0.263197,29.250788,0.729167
Pos67_1_040215_017_png_filaments,35601,2.263372,160.152650,0.692962,0.819768,21.580706,0.754442
Pos67_1_040215_018_png_filaments,34725,2.445678,164.416662,0.828341,0.233174,21.253433,0.505939
Pos67_1_040215_019_png_filaments,36434,2.487958,169.863478,0.794878,0.150297,13.810980,0.502172
Pos67_1_040215_020_png_filaments,38121,2.529358,175.191228,0.795108,0.296628,16.377278,0.547976
Pos67_1_040215_021_png_filaments,36038,2.636932,173.922139,0.792023,0.370612,16.831139,0.966559
Pos67_1_040215_022_png_filaments,36284,2.501135,169.961756,0.776610,0.134213,10.840116,0.249383
Pos67_1_040215_023_png_filaments,35870,2.489986,168.612281,0.835538,0.000000,0.000000,0.000000
Pos67_1_040215_024_png_filaments,35659,2.305973,161.784440,0.713232,0.139970,32.005767,0.385729
Pos67_1_040215_025_png_filaments,34250,2.575523,167.566835,0.772030,0.229192,35.162517,0.540732
