#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos20_040215_000_png_filaments,47007,1.800122,164.118410,0.487733,0.295389,39.978030,0.542663
Pos20_040215_001_png_filaments,45989,1.753381,160.210211,0.370427,0.488061,31.996059,1.074486
Pos20_040215_002_png_filaments,46262,1.733037,159.750116,0.430760,0.259660,29.066137,0.708906
Pos20_040215_003_png_filaments,46788,1.690229,158.659133,0.443269,0.431831,38.882458,1.241492
Pos20_040215_004_png_filaments,48417,1.731669,163.364031,0.454422,0.387335,31.740911,0.635696
Pos20_040215_005_png_filaments,50557,1.689087,164.870031,0.386148,0.506085,29.719567,1.115414
Pos20_040215_006_png_filaments,51163,1.678967,165.357594,0.345724,0.366940,25.945336,0.813155
Pos20_040215_007_png_filaments,51081,1.733965,167.909366,0.342128,0.194856,30.771531,0.641057
Pos20_040215_008_png_filaments,52919,1.699718,169.207385,0.353714,0.536649,28.658964,0.955637
Pos20_040215_009_png_filaments,52068,1.669788,166.357038,0.358281,0.237988,34.336847,0.628273
Pos20_040215_010_png_filaments,51447,1.681976,165.964418,0.397592,0.393285,27.050532,1.151454
Pos20_040215_011_png_filaments,51511,1.620889,163.024055,0.365790,0.237871,21.049999,0.504333
Pos20_040215_012_png_filaments,51581,1.574724,160.794861,0.404389,0.234888,30.898782,0.555683
Pos20_040215_013_png_filaments,52743,1.613123,164.566419,0.400330,0.221987,46.106977,0.532902
Pos20_040215_014_png_filaments,52266,1.721212,169.220073,0.415989,0.206829,24.896322,0.535905
Pos20_040215_015_png_filaments,51576,1.809180,172.341465,0.526022,0.321139,57.662012,0.548520
Pos20_040215_016_png_filaments,50491,1.830301,171.511524,0.535097,0.226172,35.886126,0.540803
Pos20_040215_017_png_filaments,50389,1.730720,166.612023,0.564909,0.521801,35.410012,1.087469
Pos20_040215_018_png_filaments,50894,1.746514,168.207126,0.589182,0.334583,16.932198,0.760684
Pos20_040215_019_png_filaments,50389,1.675797,163.947061,0.678133,0.201406,15.154583,0.624420
Pos20_040215_020_png_filaments,51967,1.679532,166.679822,0.706666,0.272555,26.911922,0.490854
Pos20_040215_021_png_filaments,50321,1.770981,168.425034,0.719067,0.193568,30.781397,0.499701
Pos20_040215_022_png_filaments,51010,1.853857,173.496549,0.799225,0.130114,21.534535,0.356449
Pos20_040215_023_png_filaments,51604,1.898620,176.597996,0.787175,0.157283,29.333804,0.610080
Pos20_040215_024_png_filaments,50815,1.923509,176.387636,0.784812,0.176745,27.432701,0.564437
Pos20_040215_025_png_filaments,49382,2.018940,178.143962,0.796385,0.126733,39.032253,0.531485
Pos20_040215_026_png_filaments,49528,2.269212,189.142007,0.775520,0.170023,30.755264,0.394962
Pos20_040215_027_png_filaments,50221,2.153103,185.524019,0.776538,0.194637,26.441841,0.552261
Pos20_040215_028_png_filaments,49084,2.179015,184.512225,0.800027,0.282716,16.291952,0.679370
Pos20_040215_029_png_filaments,47208,2.215498,182.460367,0.773953,0.148229,16.768067,0.349097
Pos20_040215_030_png_filaments,44310,2.381777,183.284815,0.803467,0.277667,23.341480,0.572265
Pos20_040215_031_png_filaments,45342,2.662319,196.022284,0.822413,0.118735,25.648963,0.391321
Pos20_040215_032_png_filaments,46230,2.395262,187.742900,0.745028,0.159065,24.515292,0.434034
Pos20_040215_033_png_filaments,47611,2.555961,196.813926,0.791892,0.272179,17.605486,0.618650
Pos20_040215_034_png_filaments,47819,2.591153,198.596612,0.794122,0.194750,18.645277,0.439716
Pos20_040215_035_png_filaments,46840,2.501132,193.108687,0.757160,0.266022,21.047082,0.781078
Pos20_040215_036_png_filaments,46705,2.909299,207.970114,0.740422,0.193146,21.534231,0.309043
Pos20_040215_037_png_filaments,48859,2.964138,214.707176,0.717972,0.142120,23.315017,0.195031
Pos20_040215_038_png_filaments,49441,3.233132,225.569514,0.767757,0.324794,25.423970,0.560481
Pos20_040215_039_png_filaments,48433,3.597647,235.507652,0.763478,0.093692,25.100737,0.209638
Pos20_040215_040_png_filaments,51479,3.491042,239.176029,0.746600,0.115476,21.309179,0.373677
Pos20_040215_041_png_filaments,53479,3.336203,238.310367,0.741094,0.196306,9.730731,0.366459
Pos20_040215_042_png_filaments,53310,2.780115,217.200482,0.780069,0.202134,22.614815,0.487939
Pos20_040215_043_png_filaments,51090,3.012658,221.344090,0.742946,0.157106,22.858051,0.554079
Pos20_040215_044_png_filaments,49815,3.126767,222.665478,0.732322,0.204855,23.954473,0.449522
Pos20_040215_045_png_filaments,53101,3.551874,245.022061,0.747612,0.071661,23.841864,0.349726
Pos20_040215_046_png_filaments,53822,3.280888,237.083146,0.777382,0.197921,20.729661,0.551002
Pos20_040215_047_png_filaments,52771,3.362459,237.657335,0.777958,0.078794,23.346829,0.285523
