#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos28_040215_000_png_filaments,34105,1.164254,112.423722,0.247313,0.570750,24.805427,0.947411
Pos28_040215_001_png_filaments,33736,1.297971,118.060427,0.135035,0.962287,19.593776,0.877260
Pos28_040215_002_png_filaments,34263,1.359276,121.756339,0.224441,0.407665,38.728674,0.743370
Pos28_040215_003_png_filaments,34175,1.213689,114.903440,0.271530,0.754485,27.574139,1.089570
Pos28_040215_004_png_filaments,34300,1.117231,110.444377,0.289985,0.624523,32.730129,0.874599
Pos28_040215_005_png_filaments,34076,1.145960,111.489533,0.209478,0.942172,24.090813,1.022039
Pos28_040215_006_png_filaments,34622,1.198794,114.940589,0.193573,0.700813,25.411142,0.850158
Pos28_040215_007_png_filaments,35154,1.266864,119.063168,0.238545,0.656289,32.582105,0.762525
Pos28_040215_008_png_filaments,35708,1.336572,123.254846,0.133436,0.688921,29.628475,0.970368
Pos28_040215_009_png_filaments,35817,1.374555,125.184548,0.135366,0.941920,29.700625,0.991161
Pos28_040215_010_png_filaments,36139,1.438865,128.653958,0.062888,0.618421,75.536905,0.851554
Pos28_040215_011_png_filaments,35082,1.424162,126.109247,-0.009042,0.256707,62.509748,0.857781
Pos28_040215_012_png_filaments,35246,1.464217,128.168914,-0.082364,0.966615,48.594198,1.188816
Pos28_040215_013_png_filaments,35588,1.680112,137.957708,-0.004650,0.538305,60.846281,0.844153
Pos28_040215_014_png_filaments,37969,1.739438,144.992026,0.045007,0.863489,71.830802,0.888369
Pos28_040215_015_png_filaments,38782,1.666279,143.421422,-0.031650,0.648553,68.034836,1.235770
Pos28_040215_016_png_filaments,38353,1.632904,141.190364,0.074503,0.906648,53.240112,1.089044
Pos28_040215_017_png_filaments,38232,1.557244,137.662897,0.113863,0.725449,52.984244,0.728678
Pos28_040215_018_png_filaments,37398,1.477160,132.605953,-0.006915,0.867847,25.812074,1.048114
