#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos65_040215_000_png_filaments,37667,1.293385,124.528710,0.254097,0.284999,33.327568,0.849137
Pos65_040215_001_png_filaments,38971,1.372098,130.463313,0.275817,0.558742,19.533154,0.797451
Pos65_040215_002_png_filaments,39605,1.394704,132.599258,0.384091,0.241416,14.903299,0.621141
Pos65_040215_003_png_filaments,40167,1.567020,141.545814,0.475825,0.938653,21.630953,0.847283
Pos65_040215_004_png_filaments,42014,1.566495,144.739339,0.425762,0.463489,25.820610,0.745327
Pos65_040215_005_png_filaments,40959,1.416523,135.897526,0.453489,0.322255,15.993558,0.536941
Pos65_040215_006_png_filaments,41181,1.367133,133.868652,0.488037,0.493850,25.287112,1.105383
Pos65_040215_007_png_filaments,40571,1.289724,129.056924,0.369372,0.242762,24.542300,0.999856
Pos65_040215_008_png_filaments,40644,1.476339,138.202637,0.419823,0.283289,23.249252,0.858228
Pos65_040215_009_png_filaments,41270,1.391557,135.205014,0.480880,0.269629,21.366515,0.835029
Pos65_040215_010_png_filaments,43052,1.423433,139.665855,0.447847,0.380867,26.197993,0.737295
Pos65_040215_011_png_filaments,42028,1.479247,140.674303,0.517881,0.616911,26.508244,1.083454
Pos65_040215_012_png_filaments,42225,1.497794,141.884820,0.593238,0.128606,47.069793,0.704451
Pos65_040215_013_png_filaments,42242,1.423245,138.336611,0.516098,0.197169,29.459934,0.668815
Pos65_040215_014_png_filaments,43153,1.283418,132.774484,0.495291,0.173485,23.257826,0.807698
Pos65_040215_015_png_filaments,42193,1.317964,133.044535,0.515685,0.347827,22.791297,0.831720
Pos65_040215_016_png_filaments,43567,1.377165,138.196447,0.536367,0.417554,32.457124,0.950290
Pos65_040215_017_png_filaments,41739,1.342687,133.562172,0.531418,0.360593,24.079563,1.115202
Pos65_040215_018_png_filaments,42544,1.440745,139.681144,0.593644,0.206465,29.498182,1.045994
Pos65_040215_019_png_filaments,42420,1.464483,140.621770,0.527711,0.193503,35.628474,0.749019
Pos65_040215_020_png_filaments,41687,1.289259,130.796303,0.531367,0.352680,15.582937,0.729524
Pos65_040215_021_png_filaments,43358,1.470979,142.482957,0.611501,0.174942,26.606987,1.005395
Pos65_040215_022_png_filaments,43302,1.360944,136.961709,0.395813,0.143993,18.741243,0.472867
Pos65_040215_023_png_filaments,44261,1.169941,128.385996,0.546745,0.397372,28.932006,1.064770
Pos65_040215_024_png_filaments,40636,1.290005,129.174335,0.469949,0.613609,25.483026,0.902050
Pos65_040215_025_png_filaments,43636,1.503619,144.516166,0.535378,0.274713,18.729944,0.749303
Pos65_040215_026_png_filaments,42649,1.396715,137.699825,0.457555,0.261573,43.910877,0.660873
Pos65_040215_027_png_filaments,41559,1.237950,127.970291,0.462417,0.535836,31.471911,1.003736
Pos65_040215_028_png_filaments,43770,1.282486,133.671756,0.454265,0.456227,33.732097,1.124823
Pos65_040215_029_png_filaments,42918,1.159964,125.882992,0.405311,0.693252,24.125104,1.037701
Pos65_040215_030_png_filaments,44382,1.368071,139.021770,0.470613,0.271918,21.171786,0.805703
Pos65_040215_031_png_filaments,42968,1.346349,135.698941,0.339785,0.860737,24.066367,0.819026
Pos65_040215_032_png_filaments,44984,1.243504,133.437437,0.419565,0.421412,44.809771,0.839045
Pos65_040215_033_png_filaments,42658,1.227268,129.090717,0.398975,0.300245,28.569840,0.904478
Pos65_040215_034_png_filaments,45603,1.400611,142.587198,0.460381,0.895361,23.929259,0.992984
Pos65_040215_035_png_filaments,45373,1.305442,137.310137,0.448115,0.956548,26.197615,0.975257
Pos65_040215_036_png_filaments,44032,1.301629,135.068127,0.368984,0.443996,25.087476,0.821378
Pos65_040215_037_png_filaments,46441,1.150130,130.391508,0.321207,0.674805,32.665244,0.887197
Pos65_040215_038_png_filaments,46365,1.200027,133.080892,0.379687,0.512544,47.527095,0.905340
Pos65_040215_039_png_filaments,45956,1.292220,137.487876,0.358874,0.373010,29.984996,1.117344
Pos65_040215_040_png_filaments,46613,1.225181,134.827573,0.401853,0.293460,56.190743,0.898882
Pos65_040215_041_png_filaments,45098,1.326539,137.995116,0.402592,0.568875,23.100415,1.030237
Pos65_040215_042_png_filaments,46140,1.319476,139.208132,0.462599,0.481782,24.243301,1.122272
