#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos51_300115_000_png_filaments,33544,1.748621,136.640780,0.548887,0.795976,27.841869,1.126836
Pos51_300115_001_png_filaments,32029,1.505699,123.898438,0.496366,0.375960,40.482344,0.844098
Pos51_300115_002_png_filaments,34202,1.920064,144.580148,0.516513,0.184081,25.991516,0.669408
Pos51_300115_003_png_filaments,34400,1.945132,145.941506,0.589229,0.426525,24.972242,0.654593
Pos51_300115_004_png_filaments,35370,1.814663,142.935658,0.620499,0.000000,0.000000,0.000000
Pos51_300115_005_png_filaments,35438,1.886009,145.858433,0.634531,0.155101,25.965033,0.737403
Pos51_300115_006_png_filaments,33716,1.556051,129.227516,0.580225,0.077497,8.773637,0.441557
Pos51_300115_007_png_filaments,34590,1.648524,134.724934,0.583102,0.306840,20.807187,0.659806
Pos51_300115_008_png_filaments,34702,1.574589,131.882120,0.589618,0.570775,23.154474,0.867196
Pos51_300115_009_png_filaments,36205,1.555775,133.900664,0.443754,0.648389,25.470034,0.806118
Pos51_300115_010_png_filaments,34452,1.765409,139.140945,0.526136,0.713396,30.637947,0.670598
Pos51_300115_011_png_filaments,36034,1.643138,137.283492,0.425370,0.614052,29.702477,0.753565
Pos51_300115_012_png_filaments,36155,1.885729,147.315650,0.497407,0.795213,34.396714,0.951322
Pos51_300115_013_png_filaments,37643,1.913084,151.402901,0.536393,0.582190,38.988178,0.816081
Pos51_300115_014_png_filaments,36450,1.699589,140.425437,0.522688,0.580994,36.016314,0.868720
Pos51_300115_015_png_filaments,36066,1.747079,141.621869,0.558305,0.542407,34.067112,1.020651
Pos51_300115_016_png_filaments,34743,1.476237,127.772315,0.571606,0.748451,32.834993,1.131529
Pos51_300115_017_png_filaments,37781,1.448751,131.995359,0.546806,0.483132,25.494321,1.074384
Pos51_300115_018_png_filaments,38029,1.710201,143.881876,0.601734,0.686344,28.348157,1.045042
Pos51_300115_019_png_filaments,38453,1.637931,141.591759,0.585814,0.772128,29.750193,1.251063
Pos51_300115_020_png_filaments,38803,1.710310,145.343338,0.623300,0.555764,25.540571,0.969248
Pos51_300115_021_png_filaments,39841,1.782747,150.360941,0.630192,0.769843,26.648166,0.951128
Pos51_300115_022_png_filaments,39019,2.067666,160.251950,0.723401,0.654183,26.413993,1.031371
Pos51_300115_023_png_filaments,38472,1.927952,153.654595,0.719505,0.644021,22.791922,0.973605
Pos51_300115_024_png_filaments,39715,2.191726,166.454475,0.707328,0.546129,22.560006,0.914154
Pos51_300115_025_png_filaments,35592,2.074662,153.311571,0.721396,0.575765,22.913154,1.106150
Pos51_300115_026_png_filaments,37694,1.559654,136.796601,0.756256,0.953302,22.067549,0.755612
Pos51_300115_027_png_filaments,37481,1.721062,143.294297,0.710570,0.876436,20.726014,0.973257
Pos51_300115_028_png_filaments,39084,1.881841,153.008666,0.717943,0.541889,21.905488,0.870442
Pos51_300115_029_png_filaments,39566,1.746236,148.298789,0.665587,0.769839,21.081596,0.974427
Pos51_300115_030_png_filaments,38650,2.136425,162.122629,0.735022,0.443993,21.978603,0.698774
Pos51_300115_031_png_filaments,39246,2.160906,164.301187,0.699175,0.368311,19.108989,0.921740
Pos51_300115_032_png_filaments,38428,2.331655,168.881119,0.720496,0.420978,15.168331,0.637770
Pos51_300115_033_png_filaments,39166,2.401867,173.043045,0.730989,0.468333,21.366142,1.085872
Pos51_300115_034_png_filaments,35577,2.247705,159.543597,0.764324,0.388823,18.725882,1.042851
Pos51_300115_035_png_filaments,37905,2.034912,156.691749,0.770425,0.449020,21.137737,0.960046
Pos51_300115_036_png_filaments,37212,1.841277,147.681513,0.689038,0.398243,23.152730,0.925615
Pos51_300115_037_png_filaments,38541,2.029813,157.802750,0.688535,0.361328,22.857204,0.821429
Pos51_300115_038_png_filaments,37960,1.604862,139.253786,0.562414,0.211451,32.555097,0.594347
Pos51_300115_039_png_filaments,38082,1.632641,140.679328,0.634994,0.173407,32.142656,0.551160
Pos51_300115_040_png_filaments,41264,1.735251,150.970425,0.566933,0.165049,27.947689,0.386515
Pos51_300115_041_png_filaments,40207,1.657417,145.643730,0.565125,0.228301,26.862268,0.516086
Pos51_300115_042_png_filaments,40887,1.587364,143.732821,0.490488,0.262499,26.018518,0.683512
Pos51_300115_043_png_filaments,40534,1.802052,152.481956,0.537920,0.277030,25.419698,0.675094
Pos51_300115_044_png_filaments,38406,1.607110,140.167524,0.415654,0.454580,27.505526,1.008942
Pos51_300115_045_png_filaments,39214,1.679613,144.793894,0.343579,0.895931,25.858880,1.040905
Pos51_300115_046_png_filaments,39582,1.790293,150.188260,0.393667,0.652111,26.554026,1.039481
