#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos05_040215_000_png_filaments,56747,1.100977,141.021600,0.077824,0.628656,17.606431,0.934778
Pos05_040215_001_png_filaments,57383,1.168239,146.077234,0.037930,0.623899,18.927232,1.020830
Pos05_040215_002_png_filaments,58929,1.167973,148.015092,0.055128,0.917608,79.284298,0.924597
Pos05_040215_003_png_filaments,61904,1.170807,151.889263,0.033153,0.967888,23.735425,0.815501
Pos05_040215_004_png_filaments,61761,1.096658,146.831024,0.072628,0.816826,26.815018,0.899449
Pos05_040215_005_png_filaments,59907,1.063036,142.376343,0.092526,0.824142,46.816887,0.895968
Pos05_040215_006_png_filaments,60893,1.085949,145.081976,0.109854,0.782239,39.856687,0.905422
Pos05_040215_007_png_filaments,61617,1.073153,145.079536,0.067791,0.694873,40.130172,1.019558
Pos05_040215_008_png_filaments,63621,1.102289,149.407722,0.031736,0.739775,55.823269,0.755686
Pos05_040215_009_png_filaments,65252,1.078023,149.635965,0.032014,0.666036,23.567880,0.890859
Pos05_040215_010_png_filaments,63928,1.106095,150.026105,0.037641,0.792166,30.512250,0.983438
Pos05_040215_011_png_filaments,65174,1.161134,155.204183,0.097484,0.957152,35.183872,1.053090
Pos05_040215_012_png_filaments,65722,1.205275,158.790137,0.096123,0.521092,37.683140,1.030822
Pos05_040215_013_png_filaments,66072,1.188132,158.076072,0.151534,0.909676,26.027677,1.081320
Pos05_040215_014_png_filaments,65869,1.207718,159.128646,0.089728,0.945561,39.816834,0.868340
Pos05_040215_015_png_filaments,67686,1.195005,160.457251,0.133574,0.583168,63.472979,0.949329
Pos05_040215_016_png_filaments,66077,1.192191,158.351850,0.142090,0.729835,59.370961,0.949553
Pos05_040215_017_png_filaments,67406,1.209956,161.123590,0.125757,0.868433,60.554087,1.102352
Pos05_040215_018_png_filaments,63033,1.277273,160.085102,0.229367,0.819168,63.779866,1.085200
Pos05_040215_019_png_filaments,59118,1.279490,155.168434,0.265830,0.546298,53.905535,0.828556
Pos05_040215_020_png_filaments,59221,1.214379,151.300393,0.284545,0.736150,52.259589,0.748926
Pos05_040215_021_png_filaments,61879,1.142650,150.021436,0.244930,0.623339,49.640595,0.781163
Pos05_040215_022_png_filaments,56725,1.274290,151.686333,0.280310,0.486602,49.105732,0.688849
Pos05_040215_023_png_filaments,56451,1.362342,156.460227,0.277128,0.623208,50.194805,0.642449
Pos05_040215_024_png_filaments,57813,1.363545,158.406338,0.353921,0.535704,46.967954,0.665498
Pos05_040215_025_png_filaments,57920,1.330844,156.640087,0.378714,0.428199,43.648449,0.654833
Pos05_040215_026_png_filaments,57176,1.363825,157.547411,0.408162,0.384726,39.517225,0.687855
Pos05_040215_027_png_filaments,55556,1.304910,151.908063,0.465123,0.505870,34.105767,0.836488
Pos05_040215_028_png_filaments,61784,1.327540,161.579731,0.431459,0.255243,26.187812,0.774203
Pos05_040215_029_png_filaments,60265,1.389758,163.277835,0.508306,0.244244,27.558810,0.685355
Pos05_040215_030_png_filaments,59657,1.414352,163.883233,0.565859,0.138807,22.925635,0.615239
Pos05_040215_031_png_filaments,61617,1.455634,168.966821,0.582807,0.106269,69.765576,0.501463
Pos05_040215_032_png_filaments,63410,1.461467,171.750672,0.602610,0.154832,37.514167,0.821521
Pos05_040215_033_png_filaments,63081,1.370048,165.860221,0.583940,0.168748,33.975081,0.629211
Pos05_040215_034_png_filaments,63197,1.317086,162.772248,0.537977,0.104980,39.826952,0.496215
Pos05_040215_035_png_filaments,67199,1.452087,176.239311,0.577892,0.151689,25.810556,0.627418
Pos05_040215_036_png_filaments,66654,1.375143,170.809532,0.593914,0.208927,28.421951,0.610685
Pos05_040215_037_png_filaments,64783,1.451946,173.033751,0.644784,0.221785,28.502998,0.719105
Pos05_040215_038_png_filaments,63773,1.488232,173.811619,0.668225,0.208047,27.232554,0.775447
Pos05_040215_039_png_filaments,63505,1.443199,170.801678,0.659038,0.177449,27.984848,0.731642
Pos05_040215_040_png_filaments,62679,1.514070,173.803721,0.701654,0.078408,21.322890,0.456883
Pos05_040215_041_png_filaments,62340,1.532833,174.403775,0.701067,0.162334,26.188399,0.751878
Pos05_040215_042_png_filaments,64709,1.578100,180.291257,0.704324,0.150809,27.263325,0.537012
Pos05_040215_043_png_filaments,65979,1.656314,186.508772,0.693993,0.153164,23.369613,0.500598
Pos05_040215_044_png_filaments,63308,1.634613,181.493817,0.679651,0.129224,18.702381,0.421865
Pos05_040215_045_png_filaments,61675,1.675442,181.361183,0.722915,0.087042,28.162479,0.468362
Pos05_040215_046_png_filaments,61886,1.705257,183.280470,0.742505,0.086119,25.921071,0.356752
Pos05_040215_047_png_filaments,64810,1.698577,187.192607,0.740264,0.238714,20.887652,0.516136
Pos05_040215_048_png_filaments,65017,1.703657,187.771470,0.719746,0.254496,21.588390,0.514617
Pos05_040215_049_png_filaments,65215,1.685959,187.077827,0.748187,0.256704,19.973321,0.500878
Pos05_040215_050_png_filaments,66783,1.574357,182.940404,0.717665,0.172483,23.155317,0.550100
Pos05_040215_051_png_filaments,67692,1.704173,191.624297,0.722799,0.209360,23.418910,0.434699
Pos05_040215_052_png_filaments,66460,1.672450,188.096971,0.724827,0.318981,24.869686,0.796925
Pos05_040215_053_png_filaments,66438,1.642513,186.375038,0.701410,0.283857,26.251152,0.658059
Pos05_040215_054_png_filaments,65134,1.643237,184.577619,0.759466,0.161107,19.692536,0.584062
Pos05_040215_055_png_filaments,64642,1.790481,191.940806,0.730291,0.260678,27.079167,0.581699
Pos05_040215_056_png_filaments,64784,1.785239,191.870022,0.759266,0.200378,25.466578,0.476134
Pos05_040215_057_png_filaments,67931,1.770201,195.645723,0.741637,0.172325,22.311248,0.377160
Pos05_040215_058_png_filaments,66223,1.794864,194.511490,0.738718,0.247083,26.757769,0.646572
Pos05_040215_059_png_filaments,68320,1.768230,196.095835,0.749225,0.249435,25.287649,0.457012
Pos05_040215_060_png_filaments,66193,1.706808,189.637154,0.717645,0.288304,21.863883,0.514367
Pos05_040215_061_png_filaments,66036,1.682218,188.042744,0.726534,0.265906,21.143058,0.614811
Pos05_040215_062_png_filaments,66595,1.614395,184.991075,0.724863,0.332235,22.156716,0.831563
Pos05_040215_063_png_filaments,64293,1.640278,183.216945,0.725064,0.355088,21.162169,0.648091
Pos05_040215_064_png_filaments,66432,1.748224,192.270327,0.726757,0.338753,22.092031,0.534623
Pos05_040215_065_png_filaments,68349,1.797225,197.739017,0.741709,0.305064,25.434524,0.735067
Pos05_040215_066_png_filaments,66929,1.757256,193.486090,0.766227,0.315691,22.615511,0.651490
Pos05_040215_067_png_filaments,67954,1.786422,196.573334,0.741484,0.321905,22.867653,0.641513
Pos05_040215_068_png_filaments,72447,1.782689,202.755693,0.711200,0.349389,24.120789,0.650519
Pos05_040215_069_png_filaments,72507,1.785783,203.015582,0.715534,0.368302,24.086525,0.672314
Pos05_040215_070_png_filaments,69402,1.746326,196.414577,0.745468,0.348414,25.689189,0.665842
Pos05_040215_071_png_filaments,67216,1.727679,192.261764,0.745514,0.378394,28.602605,0.772593
Pos05_040215_072_png_filaments,68918,1.799655,198.694582,0.773471,0.285290,27.437176,0.627292
Pos05_040215_073_png_filaments,71919,1.774029,201.524216,0.724473,0.314487,25.737413,0.601744
Pos05_040215_074_png_filaments,71818,1.807112,203.251730,0.718428,0.265267,26.798226,0.497535
Pos05_040215_075_png_filaments,72146,1.885391,208.080751,0.752423,0.198462,28.308292,0.431967
Pos05_040215_076_png_filaments,70876,1.901122,207.099789,0.783140,0.195200,25.892667,0.498378
Pos05_040215_077_png_filaments,70770,1.888652,206.265043,0.785441,0.234561,25.886546,0.578209
Pos05_040215_078_png_filaments,71636,1.955883,211.184560,0.799219,0.255783,24.313757,0.638599
Pos05_040215_079_png_filaments,71672,1.944618,210.628422,0.810279,0.244698,26.534768,0.730013
Pos05_040215_080_png_filaments,72537,1.844110,206.347052,0.771115,0.211750,25.323788,0.515682
Pos05_040215_081_png_filaments,71717,1.844454,205.196540,0.760407,0.227474,28.518815,0.627267
Pos05_040215_082_png_filaments,68947,1.845404,201.246566,0.792036,0.294247,27.457436,0.720584
Pos05_040215_083_png_filaments,70483,1.982990,210.924736,0.772719,0.209094,26.328241,0.531459
Pos05_040215_084_png_filaments,73423,2.018881,217.218338,0.794401,0.166299,26.412442,0.461450
Pos05_040215_085_png_filaments,71712,1.886809,207.531942,0.805677,0.199886,23.941792,0.520396
Pos05_040215_086_png_filaments,70379,1.989000,211.088221,0.811906,0.232908,25.080356,0.509377
Pos05_040215_087_png_filaments,71080,2.052160,215.478717,0.806867,0.236129,27.265839,0.502125
Pos05_040215_088_png_filaments,72142,1.901094,208.939691,0.788410,0.209691,27.916918,0.516214
Pos05_040215_089_png_filaments,70931,1.822916,202.874019,0.758737,0.262978,27.688203,0.563845
Pos05_040215_090_png_filaments,72602,1.917900,210.529197,0.753395,0.310533,24.709562,0.515964
Pos05_040215_091_png_filaments,73909,2.007472,217.319388,0.770505,0.257240,27.251259,0.569881
Pos05_040215_092_png_filaments,74943,1.938639,215.049815,0.753746,0.344094,29.419756,0.541869
Pos05_040215_093_png_filaments,71899,2.003713,214.143179,0.804810,0.266423,25.049162,0.668255
Pos05_040215_094_png_filaments,72560,1.917463,210.444314,0.803230,0.261075,26.030612,0.526372
Pos05_040215_095_png_filaments,72051,1.908351,209.206030,0.801833,0.266865,27.961362,0.703742
Pos05_040215_096_png_filaments,75401,1.762045,205.646874,0.766998,0.152998,27.262769,0.795648
Pos05_040215_097_png_filaments,74114,1.788943,205.434529,0.783674,0.258162,22.766203,0.635570
Pos05_040215_098_png_filaments,73211,1.917594,211.393468,0.827214,0.157442,25.311846,0.580712
