#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos64_040215_000_png_filaments,36580,1.419155,128.546965,0.204899,0.924051,54.786802,1.032693
Pos64_040215_001_png_filaments,37766,1.425097,130.887378,0.247267,0.732596,38.228535,1.263323
Pos64_040215_002_png_filaments,39770,1.420069,134.078018,0.250128,0.805965,39.843824,1.297471
Pos64_040215_003_png_filaments,39230,1.457523,134.909311,0.273397,0.357025,29.642380,0.615340
Pos64_040215_004_png_filaments,38157,1.513768,135.594425,0.306159,0.847509,43.678052,0.853640
Pos64_040215_005_png_filaments,39757,1.728933,147.917973,0.394635,0.764466,34.796931,0.826881
Pos64_040215_006_png_filaments,38913,1.740248,146.817556,0.458421,0.616727,28.278680,0.825635
Pos64_040215_007_png_filaments,37274,1.893424,149.882870,0.455849,0.318864,40.504881,0.500787
Pos64_040215_008_png_filaments,37118,2.042753,155.355014,0.473923,0.294349,40.407700,0.482755
Pos64_040215_009_png_filaments,38100,1.992790,155.459876,0.453225,0.725730,25.179304,0.899670
Pos64_040215_010_png_filaments,39197,1.857322,152.228188,0.469172,0.700455,26.217188,0.528421
Pos64_040215_011_png_filaments,39454,1.906961,154.753859,0.486818,0.503202,25.575230,0.537555
Pos64_040215_012_png_filaments,38255,1.962097,154.571493,0.505381,0.598970,27.240486,1.051124
Pos64_040215_013_png_filaments,39090,1.824866,150.686167,0.521577,0.666006,29.093738,1.175489
Pos64_040215_014_png_filaments,40174,1.765272,150.246172,0.505317,0.430043,32.004591,0.527753
Pos64_040215_015_png_filaments,39833,1.773999,149.976514,0.469492,0.838615,20.989356,0.748829
Pos64_040215_016_png_filaments,39743,1.547244,139.905500,0.466743,0.769500,30.716124,0.559445
Pos64_040215_017_png_filaments,39847,1.557202,140.538513,0.516849,0.294876,38.116456,0.682015
Pos64_040215_018_png_filaments,40613,1.564596,142.219355,0.527925,0.352774,38.691307,0.817497
Pos64_040215_019_png_filaments,41089,1.623161,145.703052,0.543625,0.720660,31.304834,0.914361
Pos64_040215_020_png_filaments,40392,1.632709,144.886237,0.472335,0.679345,34.084391,0.838256
Pos64_040215_021_png_filaments,40339,1.576860,142.293216,0.505909,0.605714,36.118765,0.807559
Pos64_040215_022_png_filaments,42179,1.617009,147.342970,0.513530,0.815208,35.594677,1.187253
Pos64_040215_023_png_filaments,38737,1.833676,150.365899,0.580535,0.808913,24.508495,0.566477
Pos64_040215_024_png_filaments,36523,2.141479,157.784811,0.649793,0.703568,22.926519,0.787691
Pos64_040215_025_png_filaments,37347,2.392422,168.644358,0.659372,0.467856,33.779915,0.449961
Pos64_040215_026_png_filaments,41172,2.620585,185.321228,0.653341,0.192038,21.558732,0.354302
Pos64_040215_027_png_filaments,39467,2.653255,182.570925,0.651195,0.531507,28.375758,0.643888
Pos64_040215_028_png_filaments,37995,2.932456,188.323293,0.779558,0.972286,24.032589,0.660546
Pos64_040215_029_png_filaments,37542,2.945361,187.608725,0.792105,0.250433,22.273333,0.298331
Pos64_040215_030_png_filaments,38861,2.719500,183.411507,0.804628,0.270698,23.944000,0.490753
Pos64_040215_031_png_filaments,41375,2.630283,186.120969,0.751367,0.180768,23.969873,0.263052
Pos64_040215_032_png_filaments,39569,2.607652,181.228884,0.700321,0.226600,26.542018,0.366962
Pos64_040215_033_png_filaments,41488,2.359411,176.517640,0.715457,0.251564,30.417423,0.515864
Pos64_040215_034_png_filaments,41184,2.758864,190.175458,0.676906,0.263822,32.723175,0.422214
Pos64_040215_035_png_filaments,39297,2.407155,173.522897,0.689832,0.188276,23.461363,0.380323
Pos64_040215_036_png_filaments,37746,2.201817,162.648904,0.711029,0.198747,19.870583,0.384050
Pos64_040215_037_png_filaments,38607,1.965550,155.417578,0.662810,0.228239,19.201851,0.377955
Pos64_040215_038_png_filaments,41088,1.888247,157.149124,0.621632,0.156918,16.020272,0.316738
Pos64_040215_039_png_filaments,40327,2.449832,177.333658,0.574864,0.380257,21.297036,0.440378
Pos64_040215_040_png_filaments,36525,2.076419,155.373759,0.615150,0.157061,19.412420,0.428561
Pos64_040215_041_png_filaments,38777,2.231834,165.975165,0.589836,0.281659,22.649500,0.590748
Pos64_040215_042_png_filaments,39153,2.478634,175.757467,0.592313,0.512529,21.422706,0.676340
Pos64_040215_043_png_filaments,39161,2.496653,176.413185,0.682354,0.279592,27.559941,0.543854
Pos64_040215_044_png_filaments,37234,2.391827,168.368092,0.733426,0.402127,21.061314,0.596630
Pos64_040215_045_png_filaments,37512,2.560434,174.850535,0.724326,0.354971,17.345946,0.566509
Pos64_040215_046_png_filaments,38084,2.991452,190.430874,0.722661,0.577161,27.687631,0.574493
Pos64_040215_047_png_filaments,42181,3.370364,212.726651,0.670661,0.520683,30.373303,0.782364
Pos64_040215_048_png_filaments,41261,3.672500,219.621999,0.713269,0.352265,29.372204,0.430838
Pos64_040215_049_png_filaments,42721,3.740892,225.545077,0.751121,0.494394,24.038959,0.439823
Pos64_040215_050_png_filaments,46122,3.999444,242.314241,0.714778,0.613713,25.871677,0.808037
