#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos06_110215_000_png_filaments,51661,1.133924,136.552118,-0.093510,0.959602,22.228822,0.760284
Pos06_110215_001_png_filaments,51669,1.090471,133.920527,-0.008345,0.928556,21.923270,0.754867
Pos06_110215_002_png_filaments,52154,1.084314,134.167215,0.042904,0.931324,61.647412,0.788203
Pos06_110215_003_png_filaments,52855,1.099276,135.994540,0.002349,0.966919,46.019648,0.965200
Pos06_110215_004_png_filaments,52959,1.110845,136.842715,0.036883,0.838492,61.958732,0.867150
Pos06_110215_005_png_filaments,53208,1.125916,138.091366,0.098244,0.796286,63.492495,1.165843
Pos06_110215_006_png_filaments,53643,1.127386,138.745182,0.177685,0.534845,42.619071,0.919074
Pos06_110215_007_png_filaments,53494,1.127701,138.571712,0.090884,0.948856,37.400302,1.038341
Pos06_110215_008_png_filaments,54954,1.151988,141.954346,0.084052,0.820111,52.535354,0.751722
Pos06_110215_009_png_filaments,56083,1.177451,144.981338,0.137742,0.830155,84.061356,1.198302
Pos06_110215_010_png_filaments,56979,1.218364,148.652084,0.035200,0.382043,46.562474,0.626394
Pos06_110215_011_png_filaments,58460,1.252948,152.693655,0.145471,0.876040,42.845779,0.858435
Pos06_110215_012_png_filaments,58582,1.272114,154.017538,0.151852,0.815158,52.309403,1.050939
Pos06_110215_013_png_filaments,59018,1.305039,156.577391,0.094402,0.871021,55.244646,1.154781
Pos06_110215_014_png_filaments,59666,1.359184,160.667358,0.104623,0.519681,73.834550,0.649323
Pos06_110215_015_png_filaments,59720,1.380787,162.012419,0.173800,0.830286,29.457978,0.802602
Pos06_110215_016_png_filaments,60298,1.397008,163.747984,0.118349,0.611972,48.283259,1.075563
Pos06_110215_017_png_filaments,60807,1.415036,165.495274,0.079516,0.936788,29.425439,1.464647
Pos06_110215_018_png_filaments,61121,1.415725,165.962412,0.249464,0.652564,31.619021,1.069577
Pos06_110215_019_png_filaments,61900,1.426719,167.663918,0.224744,0.417386,25.646999,1.072836
Pos06_110215_020_png_filaments,62351,1.417156,167.708704,0.259009,0.730759,30.876858,0.991722
Pos06_110215_021_png_filaments,63016,1.418681,168.691366,0.209732,0.552876,52.251344,0.953107
Pos06_110215_022_png_filaments,63628,1.414601,169.264615,0.310114,0.344424,48.732679,0.811866
Pos06_110215_023_png_filaments,64153,1.420529,170.317236,0.304563,0.310953,30.450542,1.051500
Pos06_110215_024_png_filaments,65126,1.413791,171.196496,0.156592,0.455399,33.550745,0.907177
Pos06_110215_025_png_filaments,64789,1.413635,170.743565,0.200308,0.817116,41.578955,0.945631
Pos06_110215_026_png_filaments,64197,1.411251,169.818328,0.219402,0.661146,45.577478,1.259402
Pos06_110215_027_png_filaments,64806,1.409798,170.534054,0.220024,0.676667,41.655276,1.196395
Pos06_110215_028_png_filaments,64266,1.403921,169.467738,0.247478,0.653245,45.083256,0.803045
Pos06_110215_029_png_filaments,63677,1.402878,168.626689,0.187503,0.740903,41.148051,0.836985
Pos06_110215_030_png_filaments,64292,1.397466,169.111895,0.182581,0.869857,42.188516,1.247490
Pos06_110215_031_png_filaments,65195,1.390532,169.872352,0.183503,0.619155,46.001037,0.779646
Pos06_110215_032_png_filaments,65357,1.387554,169.901050,0.172839,0.586550,44.673435,0.797412
Pos06_110215_033_png_filaments,65766,1.382644,170.130024,0.138263,0.805702,50.505167,0.917132
Pos06_110215_034_png_filaments,66139,1.375646,170.179491,0.145329,0.450901,54.916594,0.363430
Pos06_110215_035_png_filaments,66630,1.367027,170.274069,0.197824,0.669317,20.355870,0.948628
Pos06_110215_036_png_filaments,66710,1.358731,169.858496,0.183001,0.665654,53.860626,0.797137
Pos06_110215_037_png_filaments,67061,1.361486,170.477342,0.122058,0.575281,61.548279,0.484318
Pos06_110215_038_png_filaments,67584,1.360463,171.076508,0.209305,0.801051,48.324375,0.945927
Pos06_110215_039_png_filaments,67355,1.354040,170.382792,0.176661,0.590998,43.383467,0.831607
Pos06_110215_040_png_filaments,67242,1.360092,170.619835,0.229338,0.752058,8.776458,0.732219
Pos06_110215_041_png_filaments,67521,1.360088,170.973184,0.203900,0.539047,26.198058,0.853100
Pos06_110215_042_png_filaments,67685,1.362684,171.343983,0.215467,0.879008,63.979348,0.831739
Pos06_110215_043_png_filaments,68005,1.368455,172.111839,0.231206,0.529451,22.056976,1.118571
Pos06_110215_044_png_filaments,67973,1.368850,172.096173,0.249194,0.451362,55.337029,0.432794
Pos06_110215_045_png_filaments,68508,1.358690,172.129734,0.222209,0.759207,25.534946,0.974086
Pos06_110215_046_png_filaments,68220,1.361756,171.961240,0.247404,0.856047,5.687936,1.021278
Pos06_110215_047_png_filaments,68035,1.370701,172.291012,0.216020,0.753992,21.166616,0.733386
Pos06_110215_048_png_filaments,68785,1.376208,173.585711,0.233354,0.763548,22.548801,0.781322
Pos06_110215_049_png_filaments,69375,1.367800,173.795233,0.246608,0.830112,27.859750,0.926791
Pos06_110215_050_png_filaments,69380,1.364534,173.593872,0.244987,0.579348,71.557749,0.799722
Pos06_110215_051_png_filaments,69287,1.365667,173.549493,0.222956,0.784062,24.412378,1.051423
Pos06_110215_052_png_filaments,69979,1.362815,174.231783,0.227300,0.903537,19.439683,0.904705
Pos06_110215_053_png_filaments,70231,1.365529,174.718926,0.244049,0.843944,25.399037,0.930096
Pos06_110215_054_png_filaments,69412,1.367536,173.824795,0.248273,0.967542,34.428642,0.951621
Pos06_110215_055_png_filaments,69936,1.367978,174.507868,0.202751,0.922664,33.285700,0.959432
Pos06_110215_056_png_filaments,69553,1.376642,174.579604,0.268843,0.949736,49.843691,0.962509
Pos06_110215_057_png_filaments,69791,1.381172,175.165533,0.234142,0.950403,47.820588,0.807041
Pos06_110215_058_png_filaments,69060,1.380033,174.173904,0.256206,0.670144,33.522852,1.181871
Pos06_110215_059_png_filaments,69892,1.382208,175.357965,0.246597,0.512684,40.125381,1.255378
Pos06_110215_060_png_filaments,69850,1.376279,174.928877,0.291133,0.686289,33.722302,1.165087
Pos06_110215_061_png_filaments,69613,1.366000,173.978502,0.301531,0.573564,31.420988,1.197225
Pos06_110215_062_png_filaments,69982,1.360558,174.091179,0.310758,0.468966,35.319816,1.302005
Pos06_110215_063_png_filaments,70050,1.355799,173.870854,0.302029,0.370334,36.199725,0.646913
Pos06_110215_064_png_filaments,70037,1.357856,173.986554,0.265374,0.354058,35.396914,1.157275
Pos06_110215_065_png_filaments,70175,1.359589,174.268982,0.209129,0.567223,26.676708,1.147202
Pos06_110215_066_png_filaments,70128,1.358594,174.146855,0.290194,0.402112,65.070678,0.811937
Pos06_110215_067_png_filaments,69467,1.362321,173.561766,0.320283,0.328227,58.564356,0.840404
Pos06_110215_068_png_filaments,69604,1.357804,173.444568,0.278814,0.310792,89.536951,0.678045
Pos06_110215_069_png_filaments,69387,1.364488,173.599703,0.280999,0.195773,67.935752,0.596164
Pos06_110215_070_png_filaments,69317,1.370767,173.910884,0.300523,0.320673,55.862187,0.882466
Pos06_110215_071_png_filaments,68977,1.359760,172.785918,0.270610,0.559076,28.307253,0.805757
Pos06_110215_072_png_filaments,69340,1.360945,173.315446,0.320862,0.365376,59.403704,0.800189
Pos06_110215_073_png_filaments,69267,1.364473,173.448570,0.266938,0.553680,33.587808,1.103157
Pos06_110215_074_png_filaments,69545,1.367105,173.963827,0.302447,0.355584,20.065865,1.414534
Pos06_110215_075_png_filaments,69773,1.374089,174.693277,0.242741,0.330887,26.759642,0.790026
Pos06_110215_076_png_filaments,69884,1.375492,174.921412,0.240614,0.319254,17.541936,0.767085
Pos06_110215_077_png_filaments,69456,1.375494,174.385069,0.260788,0.512896,70.573120,0.889675
Pos06_110215_078_png_filaments,69737,1.379118,174.967508,0.282688,0.387683,65.488057,0.736515
Pos06_110215_079_png_filaments,69865,1.380588,175.221317,0.266536,0.483817,71.914481,0.756573
Pos06_110215_080_png_filaments,70033,1.380387,175.419092,0.258763,0.447278,69.357426,0.824770
Pos06_110215_081_png_filaments,69756,1.382487,175.204951,0.299207,0.448888,28.970779,0.975500
Pos06_110215_082_png_filaments,69339,1.384852,174.829828,0.261477,0.244697,27.047438,0.737289
Pos06_110215_083_png_filaments,68802,1.379335,173.804282,0.282294,0.505159,66.379555,0.853755
