#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos48_110215_000_png_filaments,98827,1.095119,185.606647,0.041642,0.495952,32.668675,0.713770
Pos48_110215_001_png_filaments,103007,1.104377,190.290501,0.072678,0.327600,34.815785,0.536678
Pos48_110215_002_png_filaments,105293,1.104644,192.413696,0.102222,0.774479,18.509766,0.972254
Pos48_110215_003_png_filaments,108877,1.110650,196.192204,0.115579,0.955184,29.180060,1.082136
Pos48_110215_004_png_filaments,109239,1.137358,198.866905,0.246597,0.837786,28.047291,0.582064
Pos48_110215_005_png_filaments,109883,1.138782,199.577057,0.309089,0.961871,38.366739,0.882643
Pos48_110215_006_png_filaments,114534,1.179589,207.375590,0.355274,0.462771,37.529513,1.057898
Pos48_110215_007_png_filaments,112789,1.179194,205.755317,0.411000,0.985473,8.652308,1.540094
Pos48_110215_008_png_filaments,109269,1.189742,203.422948,0.425564,0.433889,35.352124,0.724933
Pos48_110215_009_png_filaments,111313,1.213741,207.377205,0.440862,0.341379,37.683928,0.399465
Pos48_110215_010_png_filaments,113260,1.167083,205.122931,0.451609,0.461869,36.486446,0.846777
Pos48_110215_011_png_filaments,109119,1.156282,200.404345,0.467109,0.918120,44.841098,0.669420
Pos48_110215_012_png_filaments,108345,1.157674,199.812493,0.515129,0.387084,38.902594,0.733801
Pos48_110215_013_png_filaments,113810,1.199353,208.443707,0.502403,0.504171,37.397338,0.638846
Pos48_110215_014_png_filaments,112784,1.218231,209.128697,0.543888,0.390067,31.876747,0.717542
Pos48_110215_015_png_filaments,113207,1.207538,208.598945,0.541967,0.383300,27.573363,0.633457
Pos48_110215_016_png_filaments,114947,1.237811,212.814420,0.486632,0.385829,28.117826,0.789428
Pos48_110215_017_png_filaments,112063,1.203598,207.203417,0.499547,0.556017,28.512119,0.728918
Pos48_110215_018_png_filaments,115759,1.161700,206.894736,0.442190,0.433281,25.175054,0.720221
Pos48_110215_019_png_filaments,113567,1.175008,206.096944,0.486032,0.315285,27.185384,0.721855
Pos48_110215_020_png_filaments,112865,1.207904,208.315179,0.513819,0.432971,32.472608,0.839534
Pos48_110215_021_png_filaments,112081,1.225351,209.084248,0.505344,0.421321,33.500839,0.891279
Pos48_110215_022_png_filaments,112217,1.212992,208.153328,0.505884,0.331403,40.395305,0.799319
Pos48_110215_023_png_filaments,112630,1.203418,207.711411,0.508780,0.248513,30.738254,0.632256
Pos48_110215_024_png_filaments,111241,1.197837,205.947425,0.530108,0.257836,26.200370,0.626718
Pos48_110215_025_png_filaments,110643,1.159048,202.040179,0.493622,0.246093,23.966017,0.707581
Pos48_110215_026_png_filaments,110004,1.176589,202.974600,0.545105,0.181412,32.278138,0.668913
Pos48_110215_027_png_filaments,110332,1.150402,201.002113,0.564291,0.168340,25.929568,0.561444
Pos48_110215_028_png_filaments,109607,1.167254,201.802663,0.596225,0.270185,32.903116,0.823376
Pos48_110215_029_png_filaments,107645,1.211987,203.784418,0.605221,0.197229,21.370117,0.446126
Pos48_110215_030_png_filaments,109007,1.244108,207.769262,0.611973,0.185301,22.539416,0.451640
Pos48_110215_031_png_filaments,107061,1.255205,206.822623,0.624896,0.266119,22.176471,0.865980
Pos48_110215_032_png_filaments,106216,1.246962,205.327275,0.619281,0.211729,21.220006,0.702966
Pos48_110215_033_png_filaments,107070,1.174059,200.034049,0.578719,0.226433,18.469278,0.698779
Pos48_110215_034_png_filaments,107698,1.150091,198.561472,0.581032,0.241317,20.130962,0.602378
