#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos44_040215_000_png_filaments,36961,1.527621,134.061702,0.400371,0.446551,27.422943,0.795640
Pos44_040215_001_png_filaments,38994,1.512315,137.007735,0.330171,0.497001,29.812346,0.969088
Pos44_040215_002_png_filaments,39704,1.431721,134.515209,0.303537,0.405807,30.127541,0.824053
Pos44_040215_003_png_filaments,38940,1.349229,129.320052,0.256286,0.956342,42.021472,1.132144
Pos44_040215_004_png_filaments,39356,1.299263,127.578965,0.280591,0.530046,19.654157,1.320262
Pos44_040215_005_png_filaments,39120,1.320072,128.210412,0.312519,0.566139,22.352653,0.879190
Pos44_040215_006_png_filaments,40090,1.297802,128.690743,0.298378,0.499931,29.826473,0.863324
Pos44_040215_007_png_filaments,40130,1.247395,126.229727,0.344834,0.617481,19.445268,0.657729
Pos44_040215_008_png_filaments,39966,1.320937,129.631772,0.392696,0.394087,22.911994,0.910895
Pos44_040215_009_png_filaments,39379,1.408431,132.869467,0.462329,0.346272,17.654024,0.667481
Pos44_040215_010_png_filaments,38434,1.448205,133.106075,0.442682,0.599384,31.132039,0.915068
Pos44_040215_011_png_filaments,37597,1.432087,130.914080,0.478131,0.596257,27.611450,0.892767
Pos44_040215_012_png_filaments,36851,1.343860,125.552890,0.501653,0.296019,19.822048,0.535708
Pos44_040215_013_png_filaments,36404,1.321004,123.723353,0.428626,0.536812,25.720029,0.748162
Pos44_040215_014_png_filaments,37433,1.119724,115.506885,0.249073,0.850477,26.720234,1.070411
Pos44_040215_015_png_filaments,35816,1.145772,114.291177,-0.305490,0.486656,32.951327,0.861654
Pos44_040215_016_png_filaments,35272,1.056680,108.921057,-0.205854,0.690067,30.753657,0.819619
Pos44_040215_017_png_filaments,34997,1.191565,115.212431,0.246649,0.411203,69.485851,0.510134
Pos44_040215_018_png_filaments,35269,1.322650,121.855210,0.314136,0.276371,82.510036,0.494780
Pos44_040215_019_png_filaments,34823,1.367498,123.117986,0.292079,0.337972,76.293885,0.543510
Pos44_040215_020_png_filaments,33033,1.439904,123.045530,0.290373,0.351334,86.988141,0.379718
Pos44_040215_021_png_filaments,34109,1.551633,129.793833,0.254338,0.396848,79.351189,0.478168
Pos44_040215_022_png_filaments,32816,1.539916,126.828367,0.293400,0.493046,25.216848,0.534178
Pos44_040215_023_png_filaments,30847,1.517821,122.079237,0.383449,0.295293,17.662457,0.321773
Pos44_040215_024_png_filaments,32748,1.189737,111.363517,0.462708,0.530313,33.864145,0.705590
Pos44_040215_025_png_filaments,34476,1.115331,110.633177,0.042942,0.621895,17.877470,0.947971
Pos44_040215_026_png_filaments,33758,1.153220,111.319052,0.176681,0.911990,14.528531,1.382429
Pos44_040215_027_png_filaments,32163,1.124888,107.314394,0.142148,0.722002,59.613757,0.615478
Pos44_040215_028_png_filaments,31836,1.146102,107.769519,-0.157750,0.912391,50.065581,0.925505
Pos44_040215_029_png_filaments,33204,1.499099,125.873823,0.154741,0.659538,60.675106,0.706490
Pos44_040215_030_png_filaments,35604,1.890323,146.366763,0.238933,0.398502,68.047509,0.546447
Pos44_040215_031_png_filaments,33165,2.123329,149.717894,0.417271,0.160818,88.168271,0.512065
Pos44_040215_032_png_filaments,33969,2.189608,153.868468,0.409020,0.183222,59.072164,0.524555
Pos44_040215_033_png_filaments,32469,2.216942,151.368910,0.513580,0.619824,32.887742,0.950937
Pos44_040215_034_png_filaments,32751,2.272833,153.929234,0.467934,0.495127,27.065984,0.580126
Pos44_040215_035_png_filaments,33001,2.042441,146.474955,0.360700,0.953650,41.754082,0.768362
Pos44_040215_036_png_filaments,31372,1.896183,137.605657,0.362288,0.820994,20.133190,0.397151
Pos44_040215_037_png_filaments,34443,1.382489,123.113702,0.404088,0.530311,37.213882,1.337039
Pos44_040215_038_png_filaments,36225,1.174369,116.367458,0.418169,0.433956,22.725430,0.731760
Pos44_040215_039_png_filaments,34551,1.059667,107.954333,0.317552,0.361572,24.193095,1.060845
Pos44_040215_040_png_filaments,38249,1.119831,116.764641,0.157698,0.567705,20.927678,1.122823
