#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos21_210115_000_png_filaments,19491,1.179938,85.560185,0.020708,0.798497,48.850669,0.950342
Pos21_210115_001_png_filaments,19697,1.268259,89.172118,-0.004503,0.835798,47.556780,1.244904
Pos21_210115_002_png_filaments,19416,1.774776,104.731354,0.232239,0.427386,27.410981,0.798211
Pos21_210115_003_png_filaments,19500,1.653547,101.309609,0.461408,0.621961,19.555377,0.824884
Pos21_210115_004_png_filaments,17619,1.887451,102.885348,0.443740,0.424732,25.615168,0.829241
Pos21_210115_005_png_filaments,19764,1.769076,105.495936,0.530712,0.209264,17.856193,0.634579
Pos21_210115_006_png_filaments,19671,1.690476,102.882802,0.536881,0.501458,33.704765,0.977146
Pos21_210115_007_png_filaments,19123,2.115668,113.481961,0.600612,0.843370,31.543046,1.010037
Pos21_210115_008_png_filaments,17092,2.083417,106.465673,0.628893,0.236954,16.622216,0.603537
Pos21_210115_009_png_filaments,12925,1.655278,82.523152,0.456247,0.987571,54.885618,0.922232
Pos21_210115_010_png_filaments,16527,1.636387,92.782290,0.374832,0.669554,51.575889,0.975225
Pos21_210115_011_png_filaments,18218,1.700931,99.315895,0.450034,0.720240,29.063890,0.993267
Pos21_210115_012_png_filaments,17734,2.346095,115.080360,0.734034,0.118912,40.942922,0.520617
Pos21_210115_013_png_filaments,17643,1.980057,105.450860,0.530849,0.000000,0.000000,0.000000
Pos21_210115_014_png_filaments,19578,1.634169,100.915461,0.331667,0.869893,25.657048,0.789114
Pos21_210115_015_png_filaments,13364,1.625510,83.154952,0.535132,0.736239,30.501589,1.123377
Pos21_210115_016_png_filaments,15210,2.403987,107.883674,0.757532,0.000000,0.000000,0.000000
Pos21_210115_017_png_filaments,16720,1.648781,93.675212,0.559016,0.465911,24.320820,0.815128
Pos21_210115_018_png_filaments,19363,1.842054,106.552235,0.393391,0.687183,23.107576,1.000326
Pos21_210115_019_png_filaments,19168,2.102565,113.263030,0.421307,0.457630,32.259835,1.047086
Pos21_210115_020_png_filaments,19174,1.548288,97.209184,0.463494,0.221295,35.017215,0.716966
Pos21_210115_021_png_filaments,19923,1.632875,101.760422,0.498753,0.149611,35.771822,0.559511
Pos21_210115_022_png_filaments,19325,1.318218,90.048904,0.479332,0.254645,28.199715,0.743847
Pos21_210115_023_png_filaments,19449,1.750301,104.095048,0.560181,0.446637,23.082121,0.762568
Pos21_210115_024_png_filaments,21035,1.662070,105.492352,0.585818,0.175270,19.737989,0.583581
Pos21_210115_025_png_filaments,22650,1.862612,115.883169,0.675582,0.288218,21.187567,0.439041
Pos21_210115_026_png_filaments,22454,1.405149,100.215087,0.446274,0.653631,21.286313,0.963529
Pos21_210115_027_png_filaments,22456,1.864761,115.452369,0.525441,0.394058,33.759555,0.780113
Pos21_210115_028_png_filaments,21080,1.627400,104.497890,0.605288,0.195678,30.081326,0.805038
Pos21_210115_029_png_filaments,22950,1.726845,112.316377,0.659879,0.250620,15.451653,0.511400
Pos21_210115_030_png_filaments,22681,2.008623,120.421873,0.609695,0.152519,17.980206,0.516820
Pos21_210115_031_png_filaments,23576,2.409404,134.466759,0.778679,0.164860,19.042208,0.338936
Pos21_210115_032_png_filaments,23715,1.809824,116.883928,0.690086,0.193441,34.593039,0.548814
Pos21_210115_033_png_filaments,20940,1.806628,109.735657,0.695928,0.963270,18.011900,0.952818
Pos21_210115_034_png_filaments,20926,2.110413,118.563742,0.798277,0.366548,25.811391,0.958297
Pos21_210115_035_png_filaments,21562,1.843522,112.484775,0.733142,0.233075,23.732805,0.652881
Pos21_210115_036_png_filaments,21929,2.041926,119.386295,0.646974,0.000000,0.000000,0.000000
Pos21_210115_037_png_filaments,19935,1.902480,109.873569,0.732778,0.239500,27.976055,0.620515
Pos21_210115_038_png_filaments,20737,1.834094,110.029419,0.709725,0.146983,13.227954,0.591593
Pos21_210115_039_png_filaments,21245,2.012904,116.671548,0.722412,0.385948,20.780597,0.623428
Pos21_210115_040_png_filaments,19851,1.903932,109.683670,0.799720,0.366912,12.808202,0.543363
Pos21_210115_041_png_filaments,21954,1.846296,113.588027,0.703728,0.225195,14.673033,0.516721
Pos21_210115_042_png_filaments,20984,1.847155,111.076163,0.724655,0.000000,0.000000,0.000000
Pos21_210115_043_png_filaments,21753,1.844293,113.005505,0.687417,0.252857,11.376437,0.723313
Pos21_210115_044_png_filaments,23542,2.101842,125.500880,0.757672,0.266743,17.593210,0.508193
Pos21_210115_045_png_filaments,23320,1.963652,120.731778,0.768664,0.000000,0.000000,0.000000
Pos21_210115_046_png_filaments,24512,1.933436,122.822897,0.718218,0.109236,33.209784,0.492013
Pos21_210115_047_png_filaments,23218,1.856371,117.130461,0.794444,0.144552,20.148214,0.740936
Pos21_210115_048_png_filaments,22860,1.814312,114.899771,0.770363,0.000000,0.000000,0.000000
Pos21_210115_049_png_filaments,23733,2.132998,126.939448,0.815079,0.117671,22.766396,0.529698
Pos21_210115_050_png_filaments,25638,2.074312,130.108052,0.779220,0.000000,0.000000,0.000000
Pos21_210115_051_png_filaments,25508,2.298628,136.614757,0.825815,0.000000,0.000000,0.000000
