#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos53_040215_000_png_filaments,92773,1.654348,221.029020,0.759558,0.167158,24.300868,0.709345
Pos53_040215_001_png_filaments,94677,1.703698,226.591500,0.814475,0.044137,22.156675,0.305903
Pos53_040215_002_png_filaments,95902,1.720595,229.180796,0.812058,0.054950,29.543038,0.365115
Pos53_040215_003_png_filaments,95128,1.763403,231.076102,0.769769,0.083103,22.907426,0.403755
Pos53_040215_004_png_filaments,93036,1.879493,235.923354,0.773392,0.049282,22.728263,0.273277
Pos53_040215_005_png_filaments,91632,1.957831,238.966073,0.829152,0.046720,24.162482,0.339206
Pos53_040215_006_png_filaments,92533,1.994368,242.368421,0.781182,0.082851,17.451843,0.410971
Pos53_040215_007_png_filaments,92950,2.030647,245.113356,0.810602,0.000000,0.000000,0.000000
Pos53_040215_008_png_filaments,96816,2.003851,248.502833,0.814844,0.000000,0.000000,0.000000
Pos53_040215_009_png_filaments,99922,1.995687,251.942733,0.830927,0.000000,0.000000,0.000000
Pos53_040215_010_png_filaments,99550,2.004443,252.024377,0.853531,0.000000,0.000000,0.000000
Pos53_040215_011_png_filaments,99916,1.956513,249.450255,0.820542,0.048691,23.180654,0.260479
Pos53_040215_012_png_filaments,99763,1.968982,250.052204,0.862693,0.000000,0.000000,0.000000
Pos53_040215_013_png_filaments,97707,1.892928,242.635839,0.833207,0.000000,0.000000,0.000000
Pos53_040215_014_png_filaments,100507,1.751125,236.691026,0.816039,0.000000,0.000000,0.000000
Pos53_040215_015_png_filaments,101215,1.796548,240.584096,0.852655,0.000000,0.000000,0.000000
Pos53_040215_016_png_filaments,104312,1.767343,242.243772,0.844417,0.000000,0.000000,0.000000
Pos53_040215_017_png_filaments,102204,1.799913,241.982950,0.840479,0.000000,0.000000,0.000000
Pos53_040215_018_png_filaments,103332,1.818703,244.581369,0.870403,0.000000,0.000000,0.000000
Pos53_040215_019_png_filaments,104569,1.930854,253.513598,0.848296,0.023417,47.641077,0.219602
Pos53_040215_020_png_filaments,101386,2.015450,255.035168,0.888970,0.000000,0.000000,0.000000
Pos53_040215_021_png_filaments,105993,1.916436,254.279188,0.855618,0.000000,0.000000,0.000000
Pos53_040215_022_png_filaments,103865,1.909170,251.236061,0.884833,0.000000,0.000000,0.000000
Pos53_040215_023_png_filaments,103130,1.931245,251.788713,0.883768,0.000000,0.000000,0.000000
