#filename,area,aspect_ratio,long_half_axis,order_parameter,of_mass_ratio,of_angle_diff,of_long_half_axis
Pos07_300115_000_png_filaments,83169,1.267074,183.149945,0.079478,0.360470,56.279296,0.851966
Pos07_300115_001_png_filaments,87138,1.276288,188.149557,0.123399,0.212241,28.370642,0.728822
Pos07_300115_002_png_filaments,85754,1.272236,186.352875,0.068845,0.189835,54.757226,0.494836
Pos07_300115_003_png_filaments,83620,1.289229,185.244438,0.033781,0.252170,24.297836,0.596783
Pos07_300115_004_png_filaments,84536,1.282245,185.751110,-0.003762,0.245169,24.773756,0.576748
Pos07_300115_005_png_filaments,84890,1.283019,186.195797,0.050805,0.215836,54.337568,0.675871
Pos07_300115_006_png_filaments,89307,1.276143,190.466010,0.227066,0.255101,17.267280,0.631160
Pos07_300115_007_png_filaments,92175,1.308865,195.965249,0.344453,0.213316,51.516592,0.616759
Pos07_300115_008_png_filaments,91313,1.298886,194.301828,0.372006,0.216146,46.250849,0.635710
Pos07_300115_009_png_filaments,92713,1.268133,193.454030,0.368180,0.204717,48.000512,0.601752
Pos07_300115_010_png_filaments,92430,1.288414,194.696999,0.347836,0.225195,49.569167,0.582014
Pos07_300115_011_png_filaments,93449,1.311746,197.531911,0.352378,0.192607,50.147506,0.623766
Pos07_300115_012_png_filaments,93269,1.330558,198.751597,0.334968,0.192544,52.709009,0.600955
Pos07_300115_013_png_filaments,94308,1.331830,199.951067,0.360795,0.190940,56.123877,0.657635
Pos07_300115_014_png_filaments,95966,1.351635,203.195214,0.441249,0.180605,52.018343,0.643409
Pos07_300115_015_png_filaments,94333,1.356546,201.824622,0.446539,0.202417,52.961538,0.661126
Pos07_300115_016_png_filaments,94838,1.362948,202.841073,0.523215,0.177482,55.795644,0.597459
Pos07_300115_017_png_filaments,92736,1.328141,198.002801,0.554079,0.139100,57.543666,0.614764
Pos07_300115_018_png_filaments,91972,1.289792,194.317859,0.608177,0.128787,58.676093,0.559408
